depth	lamda	sigma18_hld	sigma18_hls	sigma18_bar	sigma18_gou	attenuation_hld	attenuation_hls	attenuation_bar	attenuation_gou
86.9	0.323	0.093	0.0932	0.09	0.0833	0.1947	0.1933	0.216	0.2691
87.45	0.322	0.0929	0.0931	0.0898	0.0833	0.1934	0.192	0.2154	0.2669
88	0.322	0.0928	0.093	0.0897	0.0832	0.1941	0.1927	0.2161	0.2677
88.55	0.322	0.0926	0.0929	0.0896	0.0831	0.1955	0.1934	0.2169	0.2686
89.1	0.321	0.0925	0.0928	0.0894	0.083	0.1942	0.1921	0.2163	0.2672
89.65	0.321	0.0924	0.0927	0.0893	0.083	0.1948	0.1928	0.217	0.2672
90.2	0.321	0.0923	0.0926	0.0892	0.0829	0.1955	0.1935	0.2178	0.2681
90.74	0.32	0.0922	0.0925	0.0891	0.0828	0.1942	0.1922	0.2165	0.2667
91.3	0.32	0.0921	0.0924	0.089	0.0828	0.1949	0.1929	0.2172	0.2667
91.85	0.32	0.092	0.0923	0.0888	0.0827	0.1956	0.1935	0.2187	0.2676
92.4	0.319	0.0919	0.0922	0.0887	0.0826	0.1943	0.1922	0.2174	0.2662
92.95	0.319	0.0918	0.0921	0.0886	0.0826	0.195	0.1929	0.2181	0.2662
93.5	0.319	0.0917	0.092	0.0885	0.0825	0.1957	0.1936	0.2189	0.2671
94.05	0.318	0.0916	0.0919	0.0884	0.0825	0.1944	0.1923	0.2175	0.2649
94.6	0.318	0.0916	0.0918	0.0883	0.0824	0.1944	0.193	0.2183	0.2657
95.15	0.318	0.0915	0.0917	0.0882	0.0824	0.1951	0.1937	0.219	0.2657
95.7	0.317	0.0914	0.0916	0.0881	0.0823	0.1938	0.1924	0.2177	0.2643
96.25	0.317	0.0913	0.0915	0.088	0.0823	0.1945	0.1931	0.2185	0.2643
96.8	0.317	0.0912	0.0914	0.0879	0.0822	0.1952	0.1938	0.2192	0.2652
97.35	0.317	0.0911	0.0913	0.0879	0.0822	0.1959	0.1945	0.2192	0.2652
97.9	0.316	0.091	0.0913	0.0878	0.0821	0.1946	0.1925	0.2179	0.2638
98.45	0.316	0.0909	0.0912	0.0877	0.0821	0.1953	0.1932	0.2186	0.2638
99	0.316	0.0909	0.0911	0.0876	0.082	0.1953	0.1939	0.2194	0.2647
99.55	0.315	0.0908	0.091	0.0875	0.082	0.194	0.1926	0.218	0.2625
100.1	0.315	0.0907	0.0909	0.0875	0.0819	0.1947	0.1933	0.218	0.2633
100.65	0.315	0.0906	0.0909	0.0874	0.0819	0.1954	0.1933	0.2188	0.2633
101.2	0.314	0.0905	0.0908	0.0873	0.0818	0.194	0.1919	0.2174	0.2619
101.75	0.314	0.0905	0.0907	0.0873	0.0818	0.194	0.1926	0.2174	0.2619
102.3	0.314	0.0904	0.0906	0.0872	0.0818	0.1947	0.1933	0.2182	0.2619
102.85	0.313	0.0903	0.0906	0.0871	0.0817	0.1934	0.1913	0.2169	0.2606
103.4	0.313	0.0902	0.0905	0.0871	0.0817	0.1941	0.192	0.2169	0.2606
103.95	0.313	0.0902	0.0904	0.087	0.0817	0.1941	0.1927	0.2176	0.2606
104.5	0.312	0.0901	0.0903	0.087	0.0816	0.1928	0.1914	0.2155	0.2592
105.05	0.312	0.09	0.0903	0.0869	0.0816	0.1935	0.1914	0.2163	0.2592
105.6	0.312	0.09	0.0902	0.0868	0.0816	0.1935	0.1921	0.217	0.2592
106.15	0.311	0.0899	0.0901	0.0868	0.0815	0.1922	0.1908	0.2149	0.2578
106.7	0.311	0.0898	0.0901	0.0867	0.0815	0.1929	0.1908	0.2157	0.2578
107.25	0.311	0.0898	0.09	0.0867	0.0815	0.1929	0.1915	0.2157	0.2578
107.8	0.31	0.0897	0.0899	0.0867	0.0814	0.1915	0.1901	0.2135	0.2564
108.35	0.31	0.0896	0.0899	0.0866	0.0814	0.1922	0.1901	0.2143	0.2564
108.9	0.309	0.0896	0.0898	0.0866	0.0814	0.1902	0.1888	0.2122	0.2542
109.45	0.309	0.0895	0.0897	0.0865	0.0813	0.1909	0.1895	0.2129	0.255
110	0.309	0.0895	0.0897	0.0865	0.0813	0.1909	0.1895	0.2129	0.255
110.55	0.308	0.0894	0.0896	0.0864	0.0813	0.1896	0.1882	0.2115	0.2528
111.12	0.308	0.0893	0.0896	0.0864	0.0813	0.1903	0.1882	0.2115	0.2528
111.65	0.307	0.0893	0.0895	0.0864	0.0812	0.1882	0.1868	0.2094	0.2513
112.22	0.307	0.0892	0.0894	0.0863	0.0812	0.1889	0.1875	0.2102	0.2513
112.75	0.307	0.0892	0.0894	0.0863	0.0812	0.1889	0.1875	0.2102	0.2513
113.3	0.306	0.0891	0.0893	0.0863	0.0812	0.1876	0.1862	0.208	0.2491
113.85	0.306	0.0891	0.0893	0.0862	0.0811	0.1876	0.1862	0.2088	0.2499
114.38	0.305	0.089	0.0892	0.0862	0.0811	0.1862	0.1848	0.2067	0.2477
114.95	0.305	0.089	0.0892	0.0862	0.0811	0.1862	0.1848	0.2067	0.2477
115.49	0.304	0.0889	0.0891	0.0862	0.0811	0.1849	0.1835	0.2045	0.2454
116.05	0.304	0.0889	0.0891	0.0861	0.081	0.1849	0.1835	0.2053	0.2463
116.6	0.303	0.0888	0.089	0.0861	0.081	0.1835	0.1821	0.2031	0.244
117.15	0.303	0.0888	0.089	0.0861	0.081	0.1835	0.1821	0.2031	0.244
117.71	0.302	0.0887	0.0889	0.0861	0.081	0.1822	0.1808	0.201	0.2417
118.25	0.3018	0.0887	0.0889	0.086	0.081	0.1818	0.1804	0.2013	0.2413
118.82	0.301	0.0886	0.0888	0.086	0.0809	0.1808	0.1794	0.1996	0.2403
119.35	0.3	0.0886	0.0888	0.086	0.0809	0.1788	0.1774	0.1975	0.238
119.9	0.3	0.0885	0.0887	0.086	0.0809	0.1795	0.1781	0.1975	0.238
120.45	0.299	0.0885	0.0887	0.0859	0.0809	0.1774	0.176	0.1961	0.2357
120.97	0.299	0.0884	0.0886	0.0859	0.0809	0.1781	0.1767	0.1961	0.2357
121.55	0.298	0.0884	0.0886	0.0859	0.0809	0.176	0.1747	0.194	0.2335
122.1	0.297	0.0883	0.0886	0.0859	0.0808	0.1747	0.1726	0.1918	0.232
122.65	0.297	0.0883	0.0885	0.0859	0.0808	0.1747	0.1733	0.1918	0.232
123.2	0.296	0.0883	0.0885	0.0859	0.0808	0.1726	0.1713	0.1897	0.2297
123.75	0.295	0.0882	0.0884	0.0859	0.0808	0.1713	0.1699	0.1876	0.2274
124.3	0.294	0.0882	0.0884	0.0858	0.0808	0.1692	0.1679	0.1862	0.2252
124.85	0.294	0.0881	0.0883	0.0858	0.0808	0.1699	0.1685	0.1862	0.2252
125.4	0.293	0.0881	0.0883	0.0858	0.0807	0.1679	0.1665	0.184	0.2237
125.95	0.292	0.0881	0.0883	0.0858	0.0807	0.1658	0.1645	0.1819	0.2214
126.5	0.291	0.088	0.0882	0.0858	0.0807	0.1645	0.1631	0.1798	0.2191
127.05	0.291	0.088	0.0882	0.0858	0.0807	0.1645	0.1631	0.1798	0.2191
127.6	0.29	0.0879	0.0882	0.0858	0.0807	0.1631	0.1611	0.1777	0.2168
128.15	0.289	0.0879	0.0881	0.0858	0.0807	0.161	0.1597	0.1755	0.2146

