Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20181102_082940	2204	6	1211.800	-19.4919	-36.5735	-288.6155
HKDS2004_Fast_IsoWater_20181102_082940	2204	7	1211.825	-19.3182	-36.3279	-285.3835
HKDS2004_Fast_IsoWater_20181102_082940	2204	8	1211.850	-19.3706	-36.3560	-285.5298
HKDS2004_Fast_IsoWater_20181102_082940	2204	9	1211.875	-19.4093	-36.6153	-288.0855
HKDS2004_Fast_IsoWater_20181102_082940	2204	10	1211.900	-19.6966	-36.9606	-290.8892
HKDS2004_Fast_IsoWater_20181102_082940	2204	11	1211.925	-19.6652	-36.9261	-291.6218
HKDS2004_Fast_IsoWater_20181102_082940	2204	12	1211.950	-19.3935	-36.4911	-287.3209
HKDS2004_Fast_IsoWater_20181102_082940	2204	13	1211.975	-18.9557	-35.6852	-279.0312
HKDS2004_Fast_IsoWater_20181102_082940	2204	14	1212.000	-18.7369	-35.2183	-274.4821
HKDS2004_Fast_IsoWater_20181102_082940	2204	15	1212.025	-18.8160	-35.3684	-275.8844
HKDS2004_Fast_IsoWater_20181102_082940	2204	16	1212.050	-19.2211	-36.1410	-281.8260
HKDS2004_Fast_IsoWater_20181102_082940	2204	17	1212.075	-19.5544	-36.7242	-287.5432
HKDS2004_Fast_IsoWater_20181102_082940	2204	18	1212.100	-19.8925	-37.3375	-292.8240
HKDS2004_Fast_IsoWater_20181102_082940	2204	19	1212.125	-20.0576	-37.7463	-295.9037
HKDS2004_Fast_IsoWater_20181102_082940	2204	20	1212.150	-20.2236	-38.0970	-298.0887
HKDS2004_Fast_IsoWater_20181102_082940	2204	21	1212.175	-20.5494	-38.5547	-302.5197
HKDS2004_Fast_IsoWater_20181102_082940	2204	22	1212.200	-20.7878	-39.0507	-306.9486
HKDS2004_Fast_IsoWater_20181102_082940	2205	1	1212.225	-20.7487	-39.0533	-307.4732
HKDS2004_Fast_IsoWater_20181102_082940	2205	2	1212.250	-20.3503	-38.2624	-299.8405
HKDS2004_Fast_IsoWater_20181102_082940	2205	3	1212.275	-19.8392	-37.2653	-290.8182
HKDS2004_Fast_IsoWater_20181102_082940	2205	4	1212.300	-19.4649	-36.4668	-282.8598
HKDS2004_Fast_IsoWater_20181102_082940	2205	5	1212.325	-19.3157	-36.3758	-281.5746
HKDS2004_Fast_IsoWater_20181102_082940	2205	6	1212.350	-19.5363	-36.7721	-286.3004
HKDS2004_Fast_IsoWater_20181102_082940	2205	7	1212.375	-19.5770	-36.7571	-286.1995
HKDS2004_Fast_IsoWater_20181102_082940	2205	8	1212.400	-19.3506	-36.4317	-283.6298
HKDS2004_Fast_IsoWater_20181102_082940	2205	9	1212.425	-19.4500	-36.5521	-284.8133
HKDS2004_Fast_IsoWater_20181102_082940	2205	10	1212.450	-19.7166	-36.9657	-289.2747
HKDS2004_Fast_IsoWater_20181102_082940	2205	11	1212.475	-19.8716	-37.4342	-293.7017
HKDS2004_Fast_IsoWater_20181102_082940	2205	12	1212.500	-20.0259	-37.6418	-295.4051
HKDS2004_Fast_IsoWater_20181102_082940	2205	13	1212.525	-19.8112	-37.3480	-293.2166
HKDS2004_Fast_IsoWater_20181102_082940	2205	14	1212.550	-19.6398	-36.9181	-289.3336
HKDS2004_Fast_IsoWater_20181102_082940	2205	15	1212.575	-19.3579	-36.4262	-284.0731
