depth	Ca	NH4	CH2O	H2O2	density	accumulation
7.704	14.66	3.12	7.45	95.17		14.66
7.706	15.65	3.39	7.52	95.09		15.65
7.708	16.03	3.63	7.56	94.86		16.03
7.71	16.63	3.91	7.53	94.84		16.63
7.712	16.77	4.12	7.52	94.95		16.77
7.714	17.23	4.3	7.49	94.71		17.23
7.716	17.28	4.43	7.52	94.49		17.28
7.718	16.33	4.54	7.48	94.25		16.33
7.72	16.88	4.58	7.41	94.05		16.88
7.722	16.9	4.53	7.39	94.03		16.9
7.724	16.28	4.42	7.34	93.96		16.28
7.726	15.59	4.23	7.41	94		15.59
7.728	14.56	4.03	7.41	94.15		14.56
7.73	13.9	3.82	7.39	94.32		13.9
7.732	13.87	3.63	7.47	94.12		13.87
7.734	13.27	3.43	7.41	94.36		13.27
7.736	13.27	3.25	7.34	94.49		13.27
7.738	12.79	3.12	7.32	94.65		12.79
7.74	12.32	2.97	7.41	95.02		12.32
7.742	11.92	2.88	7.4	94.83		11.92
7.744	11.84	2.8	7.37	94.49		11.84
7.746	11.89	2.72	7.4	95		11.89
7.748	11.84	2.64	7.45	95.43		11.84
7.75	11.34	2.57	7.42	95.91		11.34
7.752	11.46	2.52	7.33	95.96		11.46
7.754	10.71	2.46	7.36	96.06		10.71
7.756	11.06	2.42	7.37	96.26		11.06
7.758	11.21	2.37	7.45	96.23		11.21
7.76	11.16	2.36	7.39	96.39		11.16
7.762	10.89	2.35	7.49	96.46		10.89
7.764	11.01	2.33	7.45	96.56		11.01
7.766	11.13	2.31	7.45	96.75		11.13
7.768	11.07	2.27	7.47	97.34		11.07
7.77	10.86	2.2	7.53	97.76		10.86
7.772	11.16	2.16	7.51	98.44		11.16
7.774	11.3	2.12	7.55	98.87		11.3
7.776	11.37	2.08	7.53	99.38		11.37
7.778	11.26	2.04	7.63	100.08		11.26
7.78	11.34	1.99	7.68	99.89		11.34
7.782	11.49	1.97	7.73	100.57		11.49
7.784	11.06	1.96	7.8	101.23		11.06
7.786	10.71	1.97	7.83	101.74		10.71
7.788	10.92	2.02	7.85	102.13		10.92
7.79	10.14	2.07	7.92	102.8		10.14
7.792	9.6	2.12	7.95	103.01		9.6
7.794	9.01	2.11	7.84	103.47		9.01
7.796	8.48	2.09	7.91	103.78		8.48
7.798	7.8	2.04	7.94	104.02		7.8
7.8	7.44	2.02	7.85	104.36		7.44
7.802	7.12	1.97	7.89	104.57		7.12
7.804	6.52	1.93	7.84	105.24		6.52
7.806	6.34	1.88	7.77	105.67		6.34
7.808	6	1.88	7.67	105.95		6
7.81	5.7	1.97	7.7	106.41		5.7
7.812	5.29	2.15	7.75	106.67		5.29
7.814	5.31	2.46	7.63	106.93		5.31
7.816	4.92	2.82	7.65	107.2		4.92
7.818	5.02	3.16	7.58	107.65		5.02
7.82	4.69	3.43	7.51	107.7		4.69
7.822	4.81	3.63	7.46	107.79		4.81
7.824	4.8	3.77	7.44	107.46		4.8
7.826	4.77	3.86	7.55	107.95		4.77
7.828	4.94	3.92	7.52	108.71		4.94
7.83	4.42	3.98	7.53	109		4.42
7.832	4.38	4.05	7.52	110		4.38
7.834	4.39	4.11	7.56	110.6		4.39
7.836	4.02	4.14	7.6	110.95		4.02
7.838	4.21	4.18	7.68	111.22		4.21
7.84	4.15	4.18	7.64	111.87		4.15
7.842	4.11	4.15	7.7	112.12		4.11
7.844	4.07	4.09	7.79	112.69		4.07
7.846	3.82	4.02	7.77	112.88		3.82
7.848	3.88	3.95	7.71	113.27		3.88
7.85	3.75	3.88	7.8	113.6		3.75
7.852	3.99	3.84	7.83	113.89		3.99
7.854	3.77	3.76	7.88	114.02		3.77
7.856	3.89	3.69	7.75	114.34		3.89
7.858	4.1	3.62	7.82	114.61		4.1
7.86	3.91	3.52	7.76	115.15		3.91
7.862	4.09	3.43	7.73	115.61		4.09
7.864	3.96	3.35	7.72	115.8		3.96
7.866	4.3	3.26	7.77	115.98		4.3
7.868	4.09	3.23	7.8	115.66		4.09
7.87	3.92	3.18	7.85	115.36		3.92
7.872	4.05	3.16	7.92	115.78		4.05
7.874	4	3.16	7.84	115.84		4
7.876	3.85	3.15	7.89	115.9		3.85
7.878	3.71	3.16	7.85	116		3.71
7.88	4.04	3.16	7.84	116.1		4.04
7.882	3.7	3.2	7.82	116.2		3.7
7.884	3.5	3.2	7.86	116.21		3.5
7.886	3.59	3.2	7.91	116.5		3.59
7.888	3.62	3.21	7.88	116.76		3.62
7.89	3.49	3.23	7.94	117.1		3.49
7.892	3.39	3.25	7.89	117.2		3.39
7.894	3.62	3.2	7.9	117.19		3.62
7.896	3.89	3.19	7.86	116.99		3.89
7.898	3.52	3.17	7.85	116.84		3.52
7.9	3.38	3.16	7.93	116.89		3.38
7.902	3.48	3.15	7.89	117.06		3.48
7.904	3.39	3.14	7.79	117.36		3.39
7.906	3.36	3.16	7.55	117.5		3.36
7.908	3.26	3.16	7.52	117.23		3.26
7.91	3.82	3.16	7.61	117.55		3.82
7.912	3.68	3.17	7.69	117.72		3.68
7.914	3.79	3.16	7.73	117.98		3.79
7.916	3.39	3.17	7.76	118		3.39
7.918	3.55	3.18	7.73	118.32		3.55
7.92	4.12	3.2	7.71	118.15		4.12
7.922	3.96	3.29	8.21	117.81		3.96
7.924	4.14	3.42	8.31	117.24		4.14
7.926	4.92	3.66	8.28	116.67		4.92
7.928	4.9	4.03	8.26	116.23		4.9
7.93	5.02	4.5	8.28	115.74		5.02
7.932	5.09	4.96	8.28	115.58		5.09
7.934	4.78	5.28	8.23	115.47		4.78
7.936	5.16	5.48	8.13	115.1		5.16
7.938	5.21	5.45	8.14	115.33		5.21
7.94	4.53	5.29	8.2	115.21		4.53
7.942	5.25	5.03	8.23	115.29		5.25
7.944	4.62	4.72	8.28	115.09		4.62
7.946	4.55	4.43	8.19	114.81		4.55
7.948	5.02	4.15	8.25	114.7		5.02
7.95	4.96	3.91	8.27	114.46		4.96
7.952	5.23	3.74	8.21	114.48		5.23
7.954	5.51	3.62	8.27	114.05		5.51
7.956	6.08	3.64	8.35	113.52		6.08
7.958	7.22	3.82	8.34	112.96		7.22
7.96	8.42	4.18	8.36	112.14		8.42
7.962	9.49	4.64	8.38	112.9		9.49
7.964	11.09	5.21	8.5	112.67		11.09
7.966	12.82	5.7	8.6	112.29		12.82
7.968	13.87	6.03	8.7	112.11		13.87
7.97	15.51	6.22	8.77	111.79		15.51
7.972	15.99	6.27	8.89	111.22		15.99
7.974	16.99	6.26	8.97	111.15		16.99
7.976	18.33	6.23	9.12	111.21		18.33
7.978	19.16	6.29	9.01	111.61		19.16
7.98	20.27	6.46	8.93	111.81		20.27
7.982	20.95	6.79	2.25	28.65		20.95
7.984	21.98	7.29	0	0		21.98
7.986		5.38	0	0		
7.988			0	0		
7.99			0	0		
7.992			0	0		
7.994			0	0		
7.996			0	0		
8			0	0		
8.002			0	0		
8.004			0	0		
8.006			0	0		
8.008		2.03	0	0		
8.01	22.9	6.56	0	0		22.9
8.012	22.37	5.99	0	0		22.37
8.014	21.17	5.49	0	0		21.17
8.016	20.52	5.04	0	0		20.52
8.018	19.83	4.66	0	0		19.83
8.02	18.99	4.35	0	0		18.99
8.022	18.62	4.1	0	0		18.62
8.024	18.59	3.89	9.45	0		18.59
8.026	18.78	3.77	9.56	0		18.78
8.028	18.83	3.77	9.45	0		18.83
8.03	19.59	3.91	9.55	0		19.59
8.032	20.58	4.17	9.58	92.14		20.58
8.034	21.34	4.54	9.58	95.53		21.34
8.036	21.34	4.98	9.64	96.31		21.34
8.038	22.86	5.43	9.69	97.82		22.86
8.04	24.06	5.93	9.66	98.65		24.06
8.042	24.75	6.46	9.73	99.52		24.75
8.044	25.72	6.99	9.85	100.14		25.72
8.046	26.12	7.51	9.98	101.99		26.12
8.048	26.53	7.98	10.15	0		26.53
8.05	27	8.4	10.16	0		27
8.052	27.56	8.77	10.24	0		27.56
8.054	28.31	9.09	10.29	0		28.31
8.056	28.05	9.35	10.39	0		28.05
8.058	28.5	9.55	10.35	0		28.5
8.06	28.78	9.65	10.39	0		28.78
8.062	29.49	9.67	10.38	0		29.49
8.064	29.19	9.75	10.29	0		29.19
8.066	29.62	9.87	10.19	0		29.62
8.068	29.94	10.06	10.23	0		29.94
8.07	30.9	10.23	10.03	0		30.9
8.072	30.97	10.42	9.95	0		30.97
8.074	31.16	10.65	9.91	0		31.16
