depth	Ca	NH4	CH2O	H2O2	density	accumulation
43.902	3.39	3.16	4.34	110.57		3.39
43.904	3.73	3.06	4.33	110.71		3.73
43.906	3.99	2.82	4.27	110.83		3.99
43.908	3.84	2.54	4.48	110.98		3.84
43.91	3.47	2.29	4.79	111.28		3.47
43.912	3.65	2.15	4.46	111.3		3.65
43.914	3.54	2.11	4.39	111.41		3.54
43.916	3.52	2.14	4.76	111.63		3.52
43.918	3.54	2.27	4.84	111.82		3.54
43.92	3.19	2.49	4.92	112.26		3.19
43.922	3.27	2.82	4.92	112.75		3.27
43.924	3.21	3.18	4.89	112.88		3.21
43.926	3.13	3.48	4.87	113.15		3.13
43.928	3.17	3.75	4.86	113.42		3.17
43.93	3.3	4.02	4.88	113.69		3.3
43.932	3.08	4.42	4.82	113.79		3.08
43.934	3.34	4.92	4.8	114.17		3.34
43.936	4.07	5.43	4.84	114.69		4.07
43.938	4.6	5.9	4.8	115.2		4.6
43.94	5.05	6.32	4.81	115.91		5.05
43.942	5.79	6.6	4.91	115.82		5.79
43.944	6.55	6.75	4.83	115.59		6.55
43.946	6.51	6.78	4.8	114.8		6.51
43.948	7.08	6.78	4.75	114.64		7.08
43.95	7.45	6.92	4.78	112.59		7.45
43.952	7.62	7.31	4.78	112.32		7.62
43.954	7.77	7.91	4.78	63.21		7.77
43.956	8.42	8.7	4.76	0		8.42
43.958	8.61	9.5	4.81	0		8.61
43.96	9.31	10.19	4.77	0		9.31
43.962	8.69	10.67	4.86	0		8.69
43.964	10.7	10.88	4.92	0		10.7
43.966	11.83	10.87	4.94	0		11.83
43.968	13.61	10.74	4.97	0		13.61
43.97	15.37	10.57	5	0		15.37
43.972	16.52	10.27	5.05	0		16.52
43.974	17.96	9.72	5.02	0		17.96
43.976	18.3	8.96	0	0		18.3
43.978	18.34	8.12	0	0		18.34
43.98	18.04	7.4	0	0		18.04
43.982	16.52	4.86	0	0		16.52
43.984	15.39		0	0		15.39
43.986	14.13		0	0		14.13
43.988	12.63		0	0		12.63
43.99			0	0		
43.992			0	0		
43.994			0	0		
43.996			0	0		
43.998			0	0		
44			0	0		
44.002			0	0		
44.004			0	0		
44.006			0	0		
44.008		3.3	0	0		
44.01	4.68	6.79	0	109.57		4.68
44.012	4.6	6.77	3.98	110.89		4.6
44.014	4.42	6.74	5.59	111.63		4.42
44.016	4.01	6.76	5.57	112.18		4.01
44.018	4.02	6.78	5.67	112.16		4.02
44.02	4.39	6.79	5.7	112.72		4.39
44.022	4.48	6.79	5.77	113.14		4.48
44.024	4.21	6.76	5.75	113.68		4.21
44.026	3.9	6.73	5.72	114.24		3.9
44.028	3.99	6.67	5.64	114.6		3.99
44.03	4.42	6.54	5.7	114.71		4.42
44.032	4.73	6.32	5.75	114.63		4.73
44.034	4.73	5.92	5.73	115		4.73
44.036	4.76	5.38	5.7	115.24		4.76
44.038	4.8	4.79	5.67	115.44		4.8
44.04	4.68	4.22	5.57	115.85		4.68
44.042	4.76	3.7	5.56	115.95		4.76
44.044	4.26	3.27	5.59	116.01		4.26
44.046	4	2.92	5.58	116.14		4
44.048	3.89	2.64	5.59	116.45		3.89
44.05	3.56	2.38	5.53	116.54		3.56
44.052	3.3	2.13	5.6	116.77		3.3
44.054	2.86	1.88	5.54	117.15		2.86
44.056	2.43	1.64	5.57	117.22		2.43
44.058	2.46	1.42	5.54	117.38		2.46
44.06	2.44	1.27	5.52	117.56		2.44
44.062	2.2	1.15	5.46	117.53		2.2
44.064	1.91	1.02	5.48	117.33		1.91
44.066	1.95	0.98	5.45	117.35		1.95
44.068	2.12	0.95	5.46	117.47		2.12
44.07	1.54	0.95	5.39	117.42		1.54
44.072	1.53	0.96	5.33	117.32		1.53
44.074	1.73	0.94	5.28	117.64		1.73
44.076	1.58	0.98	5.26	117.64		1.58
44.078	1.61	1.07	5.26	117.39		1.61
44.08	1.69	1.3	5.19	117.4		1.69
44.082	1.59	1.84	5.17	117.58		1.59
44.084	1.12	2.73	5.23	117.74		1.12
44.086	1.01	3.95	5.17	117.64		1.01
44.088	0.86	5.27	5.19	117.64		0.86
44.09	0.77	6.44	5.21	117.73		0.77
44.092	0.69	7.19	5.22	117.75		0.69
44.094	1.24	7.44	5.25	117.88		1.24
44.096	1.11	7.16	5.2	117.89		1.11
44.098	1.09	6.55	5.26	117.85		1.09
44.1	1.18	5.76	5.24	117.91		1.18
44.102	0.93	5	5.24	117.14		0.93
44.104	1.08	4.3	5.3	117.32		1.08
44.106	0.84	3.73	5.29	117.2		0.84
44.108	0.96	3.28	5.25	116.95		0.96
44.11	0.88	2.96	5.22	116.73		0.88
44.112	1.19	2.74	5.28	116.72		1.19
44.114	0.94	2.6	5.3	116.36		0.94
44.116	0.6	2.53	5.3	116.26		0.6
44.118	0.81	2.47	5.27	116.38		0.81
44.12	0.85	2.38	5.3	116.35		0.85
44.122	0.67	2.3	5.23	116.26		0.67
44.124	0.46	2.2	5.3	116.44		0.46
44.126	0.6	2.14	5.26	116.37		0.6
44.128	0.66	2.1	5.22	116.19		0.66
44.13	0.71	2.1	5.27	116.13		0.71
44.132	0.88	2.09	5.26	116.02		0.88
44.134	0.61	2.06	5.23	115.88		0.61
44.136	0.58	2.02	5.28	116		0.58
44.138	0.95	1.97	5.25	115.72		0.95
44.14	1.07	1.93	5.2	115.42		1.07
44.142	1.73	1.88	5.21	115.22		1.73
44.144	2.72	1.88	5.16	115.17		2.72
44.146	4.44	2.02	5.12	114.89		4.44
44.148	6.62	2.41	5.14	114.9		6.62
44.15	8.29	3.03	5.09	115.02		8.29
44.152	8.79	3.59	5.08	114.93		8.79
44.154	9.11	3.98	5.08	114.83		9.11
44.156	9.21	4.04	5.08	114.66		9.21
44.158	9.14	3.81	5.08	114.51		9.14
44.16	8.87	3.4	4.99	114.22		8.87
44.162	8.6	2.93	5.03	113.71		8.6
44.164	7.9	2.49	5.02	113.71		7.9
44.166	7.22	2.13	5.01	113.48		7.22
44.168	6.82	1.85	5.1	113.39		6.82
44.17	6.75	1.64	5	113.33		6.75
44.172	6.45	1.5	4.95	113.31		6.45
44.174	6.82	1.4	5	113.02		6.82
44.176	7.05	1.37	4.97	113.02		7.05
44.178	7.95	1.43	5	112.97		7.95
44.18	9.04	1.55	4.99	112.98		9.04
44.182	9.91	1.77	4.96	112.67		9.91
44.184	11.11	2	4.93	112.43		11.11
44.186	12.33	2.27	4.93	112.21		12.33
44.188	12.91	2.48	4.87	111.72		12.91
44.19	13.27	2.62	4.89	111.77		13.27
44.192	13.83	2.67	4.84	111.78		13.83
44.194	14.17	2.63	4.81	111.75		14.17
44.196	14.58	2.54	4.85	111.99		14.58
44.198	14.62	2.46	4.81	111.86		14.62
44.2	15.17	2.38	4.76	111.71		15.17
44.202	14.91	2.25	4.77	111.91		14.91
44.204	14.49	2.11	4.72	111.58		14.49
44.206	14.51	1.96	4.81	111.58		14.51
44.208	14.41	1.78	4.66	111.42		14.41
44.21	14.63	1.64	4.66	111.01		14.63
44.212	14.48	1.53	4.63	110.7		14.48
44.214	15	1.47	4.72	110.29		15
44.216	15.47	1.41	4.68	109.97		15.47
44.218	16.47	1.39	4.71	109.72		16.47
44.22	17.88	1.39	4.68	109.53		17.88
44.222	19.09	1.4	4.7	109.33		19.09
44.224	20.61	1.43	4.67	109.09		20.61
44.226	21.77	1.45	4.67	108.92		21.77
44.228	22.62	1.48	4.65	108.47		22.62
44.23	23.33	1.5	4.56	108.1		23.33
44.232	24.12	1.53	4.55	107.69		24.12
44.234	24.31	1.55	4.56	107.45		24.31
44.236	24.51	1.58	4.54	107.34		24.51
44.238	23.68	1.62	4.57	107.21		23.68
44.24	22.07	1.65	4.56	107.29		22.07
44.242	20.12	1.62	4.61	107.04		20.12
44.244	18.03	1.58	4.6	106.82		18.03
44.246	15.7	1.48	4.58	106.46		15.7
44.248	13.69	1.32	4.61	106.43		13.69
44.25	12.11	1.18	4.67	106.53		12.11
44.252	10.56	1.03	4.68	103.7		10.56
44.254	9.32	0.92	4.64	105.13		9.32
44.256	8.26	0.82	4.64	0		8.26
44.258	7.28	0.76	4.68	0		7.28
44.26	6.62	0.71	4.69	0		6.62
44.262	5.89	0.67	4.63	0		5.89
44.264	5.55	0.66	4.62	0		5.55
44.266	5.02	0.64	4.67	0		5.02
44.268	4.17	0.62	4.64	0		4.17
44.27	4.19	0.62	4.61	0		4.19
44.272	3.95	0.62	4.61	0		3.95
44.274	3.65	0.66	4.64	0		3.65
44.276	3.45	0.72	4.64	0		3.45
44.278	3.33	0.82	4.63	0		3.33
44.28	3.32	0.94	4.57	0		3.32
44.282	3.14	1.08	4.61	0		3.14
44.284	3.05	1.23	4.63	0		3.05
44.286	3.22	1.38	4.61	0		3.22
44.288	3.39	1.51	4.65	0		3.39
44.29	3.27	1.62	4.66	0		3.27
44.292	3.4	1.71	4.66	0		3.4
44.294	3.12	1.79	4.68	0		3.12
44.296	2.67	1.85	4.63	0		2.67
44.298	2.86	1.9	4.6	0		2.86
44.3	2.81	1.91	4.6	0		2.81
44.302	2.49	1.95	4.56	0		2.49
44.304	2.56	1.97	4.58	0		2.56
44.306	2.35	1.98	4.59	0		2.35
44.308	2.44	1.98	4.61	0		2.44
44.31	2.29	2	4.62	0		2.29
44.312	2.48	2.03	4.59	0		2.48
44.314	2.3	2.07	4.55	0		2.3
44.316	2.23	2.18	4.56	0		2.23
44.318	1.82	2.27	4.53	0		1.82
44.32	1.87	2.39	4.52	0		1.87
44.322	1.73	2.48	4.52	0		1.73
44.324	1.66	2.56	4.46	0		1.66
44.326	1.78	2.62	4.47	0		1.78
44.328	1.86	2.74	4.45	0		1.86
44.33	2.11	3.04	4.37	0		2.11
44.332	2.31	3.63	4.38	0		2.31
44.334	2.66	4.5	4.34	0		2.66
44.336	2.62	5.62	4.33	0		2.62
44.338	2.97	6.87	4.34	0		2.97
44.34	2.5	8.07	4.36	0		2.5
44.342	2.65	9.03	4.31	0		2.65
44.344	1.94	9.68	4.33	0		1.94
44.346	1.62	9.94	4.29	0		1.62
44.348	1.09	9.82	4.33	0		1.09
44.35	1.07	9.26	4.34	0		1.07
44.352	0.17	8.39	4.38	0		0.17
44.354	0.04	7.32	4.4	0		0.04
44.356	0.07	6.19	4.44	0		0.07
44.358	-0.41	5.09	4.44	0		-0.41
44.36	-0.6	4.1	4.5	0		-0.6
44.362	-0.51	3.28	4.47	0		-0.51
44.364	-0.62	2.66	4.51	0		-0.62
44.366	-0.79	2.19	4.55	0		-0.79
44.368	-0.93	1.83	4.63	0		-0.93
44.37	-1.17	1.59	4.87	0		-1.17
44.372	-1.53	1.43	5.1	0		-1.53
44.374	-1.19	1.31	5.35	0		-1.19
44.376	-1.21	1.27	5.61	0		-1.21
44.378	-1.18	1.24	5.85	0		-1.18
44.38	-1.11	1.26	6.03	0		-1.11
44.382	-1.24	1.25	6.11	0		-1.24
44.384	-0.96	1.29	6.22	0		-0.96
44.386	-1.32	1.35	6.25	0		-1.32
44.388	-1.05	1.5	6.23	0		-1.05
44.39	-0.75	1.72	6.2	0		-0.75
44.392	-0.48	1.98	6.06	37.7		-0.48
44.394	1.02	2.13	5.99	97.87		1.02
44.396	1.75	2.22	5.85	97.63		1.75
44.398	3.72	2.35	5.79	97.63		3.72
44.4	5.61	2.64	5.68	97.97		5.61
44.402	7.16	3.08	5.57	98.6		7.16
44.404	8.26	3.56	5.46	98.83		8.26
44.406	8.76	3.96	5.38	98.99		8.76
44.408	9.15	4.11	5.2	98.01		9.15
44.41	8.44	4.07	5.15	97.02		8.44
44.412	8.27	3.85	5.05	96.11		8.27
44.414	8.16	3.53	4.97	96.7		8.16
44.416	7.86	3.21	4.95	98.97		7.86
44.418	7.47	2.93	4.96	98.61		7.47
44.42	6.97	2.73	4.97	98.7		6.97
44.422	6.45	2.57	4.89	98.82		6.45
44.424	6.53	2.44	4.88	99.1		6.53
44.426	6.66	2.36	4.85	99.32		6.66
44.428	6.42	2.31	4.83	99.68		6.42
44.43	6.59	2.28	4.76	99.8		6.59
44.432	6.53	2.23	4.82	99.85		6.53
44.434	6.35	2.2	4.75	100.23		6.35
44.436	6.31	2.17	4.75	100.12		6.31
44.438	5.75	2.12	4.66	100.02		5.75
44.44	5.72	2.09	4.71	100.05		5.72
44.442	5.82	2.06	4.69	100.21		5.82
44.444	5.53	2.07	4.58	100.31		5.53
44.446	5.7	2.06	4.6	100.32		5.7
44.448	5.67	2.03	4.61	100.46		5.67
44.45	5.55	2.04	4.59	100.6		5.55
44.452	4.99	2.01	4.53	100.57		4.99
44.454	5.81	2.02	4.53	100.47		5.81
44.456	5.97	2.01	4.48	100.48		5.97
44.458	5.61	2	4.47	100.89		5.61
44.46	6.13	1.98	4.49	100.87		6.13
44.462	5.42	1.98	4.44	101.02		5.42
44.464	5.82	1.95	4.43	100.99		5.82
44.466	5.43	1.91	4.36	101		5.43
44.468	5.71	1.89	4.39	101.01		5.71
44.47	6.2	1.88	4.31	100.79		6.2
44.472	6.38	1.84	4.26	100.84		6.38
44.474	6.61	1.82	4.27	100.91		6.61
44.476	6.59	1.81	4.26	101.15		6.59
44.478	6.71	1.86	4.21	101.14		6.71
44.48	6.81	1.89	4.17	101.02		6.81
44.482	6.96	1.95	4.21	100.97		6.96
44.484	6.99	2	4.17	101.13		6.99
44.486	7.52	2.06	4.18	101.05		7.52
44.488	8.05	2.07	4.25	100.97		8.05
44.49	8.54	2.02	4.23	100.97		8.54
44.492	9.1	1.97	4.14	100.85		9.1
44.494	9.36	1.89	4.18	100.8		9.36
44.496	9.46	1.8	4.2	100.59		9.46
44.498	10.24	1.72	4.18	100.86		10.24
44.5	11.2	1.65	4.12	100.8		11.2
44.502	12.47	1.58	4.11	100.96		12.47
44.504	13.36	1.52	4.1	100.96		13.36
44.506	13.8	1.44	4.11	100.86		13.8
44.508	14.04	1.33	4.08	101.02		14.04
44.51	14.01	1.21	4.05	101.26		14.01
44.512	14.21	1.07	4.01	101.41		14.21
44.514	14.16	0.94	4.02	101.71		14.16
44.516	14.41	0.83	3.98	101.94		14.41
44.518	14.48	0.76	4.02	102.15		14.48
44.52	14.71	0.69	3.97	102.13		14.71
44.522	15.01	0.65	3.99	102.24		15.01
44.524	15.55	0.63	3.95	102.31		15.55
44.526	15.68	0.58	3.99	102.57		15.68
44.528	15.43	0.57	3.94	102.6		15.43
44.53	15.19	0.55	4	102.87		15.19
44.532	15.5	0.52	4.06	103.01		15.5
44.534	15.52	0.5	4.01	102.99		15.52
44.536	15.67	0.49	3.95	103.03		15.67
44.538	16.32	0.47	3.91	103.15		16.32
44.54	16.95	0.46	3.86	103.23		16.95
44.542	17.45	0.46	3.93	103.18		17.45
44.544	18.15	0.48	3.97	102.77		18.15
44.546	18.78	0.56	3.92	102.67		18.78
44.548	18.5	0.69	3.94	102.9		18.5
44.55	18.08	0.9	3.96	103.3		18.08
44.552	16.5	1.18	4	103.38		16.5
44.554	15.38	1.51	3.97	103.62		15.38
44.556	13.92	1.81	3.98	103.95		13.92
44.558	12.86	2.08	3.98	103.8		12.86
44.56	10.98	2.31	4.05	103.79		10.98
44.562	10.1	2.52	4.04	103.79		10.1
44.564	9.54	2.74	4.04	103.95		9.54
44.566	8.8	2.97	4.03	103.49		8.8
44.568	7.95	3.22	4.08	103.26		7.95
44.57	7.35	3.48	4.08	102.57		7.35
44.572	7.11	3.81	4.07	102.57		7.11
44.574	6.26	4.29	4.09	103.14		6.26
44.576	5.62	4.96	4.13	103.71		5.62
44.578	5.61	5.57	4.12	104.2		5.61
44.58	4.99	5.81	4.15	104.04		4.99
44.582	4.85	5.48	4.09	104.14		4.85
44.584	4.35	4.81	4.13	104.1		4.35
44.586	3.78	4.03	4.15	104.25		3.78
44.588	3.87	3.28	4.21	104.24		3.87
44.59	4.29	2.69	4.17	103.96		4.29
44.592	4.11	2.26	4.13	103.91		4.11
44.594	3.78	1.97	4.15	103.85		3.78
44.596	3.9	1.77	4.21	103.89		3.9
44.598	3.74	1.69	4.16	104.08		3.74
44.6	3.69	1.7	4.16	104.08		3.69
44.602	4.27	1.82	4.13	103.87		4.27
44.604	3.62	1.98	4.14	103.68		3.62
44.606	3.94	2.21	4.18	103.63		3.94
44.608	3.64	2.41	4.22	103.4		3.64
44.61	3.55	2.61	4.23	103.07		3.55
44.612	3.72	2.77	4.26	102.84		3.72
44.614	3.76	2.79	4.28	102.77		3.76
44.616	3.43	2.68	4.2	102.82		3.43
44.618	3.19	2.45	4.15	102.82		3.19
44.62	3.18	2.14	4.2	102.99		3.18
44.622	3.21	1.82	4.24	103.03		3.21
44.624	1.98	1.56	4.26	102.84		1.98
44.626	2.5	1.39	4.28	102.82		2.5
44.628	2.9	1.33	4.29	102.92		2.9
44.63	2.03	1.4	4.28	102.89		2.03
44.632	1.77	1.5	4.36	102.88		1.77
44.634	1.8	1.64	4.33	102.86		1.8
44.636	1.97	1.89	4.32	102.94		1.97
44.638	1.84	2.31	4.28	102.91		1.84
44.64	1.9	2.86	4.35	102.7		1.9
44.642	2.32	3.48	4.27	102.49		2.32
44.644	1.93	4.1	4.38	101.91		1.93
44.646	1.54	4.64	4.28	101.82		1.54
44.648	1.73	5.02	4.31	101.59		1.73
44.65	1.92	5.25	4.38	101.65		1.92
44.652	2.22	5.29	4.39	101.71		2.22
44.654	3.19	5.25	4.4	101.69		3.19
44.656	3.09	5.12	4.32	101.78		3.09
44.658	2.88	4.98	4.39	101.71		2.88
44.66	3.31	4.8	4.36	101.84		3.31
44.662	3.14	4.54	4.41	101.85		3.14
44.664	3.6	4.31	4.38	101.95		3.6
44.666	4.35	4.22	4.38	101.85		4.35
44.668	5.43	4.35	4.3	101.67		5.43
44.67	7.54	4.77	4.34	102.13		7.54
44.672	9.81	5.33	4.26	101.94		9.81
44.674	11.97	5.91	4.26	0		11.97
44.676	12.68	6.45	4.25	0		12.68
44.678	13.33	6.95	4.24	0		13.33
44.68	13.28	7.43	4.2	0		13.28
44.682	13.01	7.87	4.19	0		13.01
44.684	12.92	8.2	4.16	0		12.92
44.686	12.45	8.48	4.23	0		12.45
44.688	12.35	8.69	4.21	0		12.35
44.69	12.2	8.91	4.2	0		12.2
44.692	11.83	9.02	4.17	0		11.83
44.694	12	9.08	4.18	0		12
44.696	12.65	9.12	4.22	0		12.65
44.698	13.07	9.17	4.19	0		13.07
44.7	14.38	9.21	4.15	0		14.38
44.702	16.95	9.2	4.17	0		16.95
44.704	19.27	9.09	4.13	0		19.27
44.706	21.62	8.89	4.11	95.9		21.62
44.708	23.21	8.5	4.07	95.84		23.21
44.71	25.39	7.95	4.11	95.77		25.39
44.712	26.94	7.28	4.07	95.81		26.94
44.714	29.02	6.62	4.04	95.56		29.02
44.716	30.42	6.02	4.04	95.42		30.42
44.718	31.4	5.52	4.05	95.21		31.4
44.72	31.9	5.1	4.03	94.64		31.9
44.722	31.18	4.73	4	94.51		31.18
44.724	30.14	4.41	4.08	94.28		30.14
44.726	28.61	4.18	4.04	94.09		28.61
44.728	27.37	4.08	4.11	93.79		27.37
44.73	25.45	4.05	4.11	93.71		25.45
44.732	24.16	4.03	4.04	93.44		24.16
44.734	22.81	3.98	4.11	93.34		22.81
44.736	21.24	3.81	4.12	93.23		21.24
44.738	19.52	3.57	4.08	93.22		19.52
44.74	18.1	3.23	4.07	93.05		18.1
44.742	16.67	2.87	4.1	92.96		16.67
44.744	15.11	2.48	4.1	92.76		15.11
44.746	13.83	2.16	4.15	92.61		13.83
44.748	12.74	1.85	4.12	92.41		12.74
44.75	12.05	1.57	4.18	92.42		12.05
44.752	11.08	1.39	4.12	92.24		11.08
44.754	10.56	1.23	4.16	92.23		10.56
44.756	10.04	1.1	4.14	92.22		10.04
44.758	9.77	1.04	4.21	92.23		9.77
44.76	9.27	0.99	4.19	92.08		9.27
44.762	8.72	0.99	4.14	92.04		8.72
44.764	8.16	1.02	4.22	92.13		8.16
44.766	7.92	1.15	4.24	92.12		7.92
44.768	7.44	1.4	4.21	92.08		7.44
44.77	7.21	1.77	4.22	91.97		7.21
44.772	6.85	2.23	4.25	91.73		6.85
44.774	6.28	2.69	4.33	91.67		6.28
44.776	5.95	3.13	4.37	91.61		5.95
44.778	5.89	3.51	4.31	91.52		5.89
44.78	5.63	3.84	4.32	91.43		5.63
44.782	5.34	4.13	4.35	91.28		5.34
44.784	5.38	4.34	4.39	91.29		5.38
44.786	4.7	4.52	4.41	91.06		4.7
44.788	4.88	4.61	4.46	90.82		4.88
44.79	4.64	4.64	4.41	90.52		4.64
44.792	4.15	4.61	4.48	90.36		4.15
44.794	4.44	4.56	4.45	90.28		4.44
44.796	4.64	4.46	4.51	90.09		4.64
44.798	4.15	4.35	4.49	89.81		4.15
44.8	3.9	4.19	4.51	89.96		3.9
44.802	3.9	4.01	4.55	89.66		3.9
44.804	3.6	3.79	4.6	89.49		3.6
44.806	3.28	3.54	4.61	89.63		3.28
44.808	3.41	3.21	4.58	89.38		3.41
44.81	3.44	2.84	4.59	89.22		3.44
44.812	3.47	2.46	4.48	88.97		3.47
44.814	3.14	2.15	4.43	88.82		3.14
44.816	3.17	1.85	4.47	88.61		3.17
44.818	3.52	1.66	4.45	88.41		3.52
44.82	3.16	1.53	4.45	88.33		3.16
44.822	3.32	1.4	4.46	88.25		3.32
44.824	3.18	1.34	4.4	88.15		3.18
44.826	3.23	1.34	4.43	88.21		3.23
44.828	3.23	1.35	4.43	87.96		3.23
44.83	3.07	1.4	4.35	87.91		3.07
44.832	3.26	1.48	4.36	87.89		3.26
44.834	3.45	1.57	4.44	87.85		3.45
44.836	3.39	1.61	4.45	87.81		3.39
44.838	3.72	1.7	4.39	87.89		3.72
44.84	2.92	1.78	4.45	87.86		2.92
44.842	3.05	1.87	4.41	87.45		3.05
44.844	3.28	1.98	4.46	87.23		3.28
44.846	3.16	2.12	4.46	87.39		3.16
44.848	3.31	2.34	4.43	87.56		3.31
44.85	3.34	2.64	4.42	87.4		3.34
44.852	3.59	3.05	4.36	87.45		3.59
44.854	3.57	3.47	4.41	87.39		3.57
44.856	3.92	3.88	4.42	87.3		3.92
44.858	4.84	4.24	4.36	87.29		4.84
44.86	5.58	4.55	4.43	87.24		5.58
44.862	7.26	4.79	4.41	87.3		7.26
44.864	8.83	4.98	4.39	87.28		8.83
44.866	10.05	5.12	4.41	87.39		10.05
44.868	10.78	5.18	4.36	87.7		10.78
44.87	11.43	5.22	4.48	87.62		11.43
44.872	12.43	5.25	4.63	87.66		12.43
44.874	12.58	5.33	4.69	87.73		12.58
44.876	13.11	5.47	4.71	87.73		13.11
44.878	13.61	5.64	4.8	87.98		13.61
44.88	14.35	5.8	4.82	88		14.35
44.882	14.2	5.97	4.8	88.17		14.2
44.884	14.12	5.99	4.82	88.36		14.12
44.886	14.96	5.84	4.79	88.54		14.96
44.888	14.98	5.53	4.75	88.75		14.98
44.89	15.03	5.17	4.69	88.79		15.03
44.892	14.94	4.75	0	89.04		14.94
44.894	15.24	4.36	0	89.24		15.24
44.896	14.59	4.03	0	89.41		14.59
44.898	15.17	3.79	0	89.42		15.17
44.9	15.02	3.63	0	89.59		15.02
44.902	14.76	3.55	0	89.67		14.76
44.904	15.55	3.53	0	89.98		15.55
44.906	15.45	3.54	0	90.17		15.45
44.908	15.73	3.55	0	90.23		15.73
44.91	15.87	3.57	0	90.3		15.87
44.912	16.49	3.61	0	90.5		16.49
44.914	16.78	3.64	0	90.84		16.78
44.916	18.03	3.7	0	90.8		18.03
44.918	18.75	3.82	0	91.1		18.75
44.92	19.82	3.93	0	91		19.82
44.922	20.94	3.95	0	91.42		20.94
44.924	22.4	3.88	0	91.58		22.4
44.926	23.5	3.68	0	91.85		23.5
44.928	25.23	3.51	0	91.97		25.23
44.93	24.32	3.97	0	92.34		24.32
44.932	23.21	3.25	0	92.65		23.21
44.934	21.3	2.94	0	92.8		21.3
44.936	19.34	2.95	0	93.27		19.34
44.938	18.6	3.07	0	93.46		18.6
44.94	17.92	3.19	0	93.62		17.92
44.942	16.35	3.36	0	93.75		16.35
44.944	15.87	3.61	0	94.06		15.87
44.946	15.35	3.94	0	94.21		15.35
44.948	14.89	4.37	0	94.53		14.89
44.95	14.41	4.89	0	94.75		14.41
44.952	13.87	5.37	0	94.87		13.87
44.954	13.42	5.76	0	95.1		13.42
44.956	12.93	5.96	0	95.38		12.93
44.958	12.29	5.96	0	95.53		12.29
44.96	11.82	5.8	0	96.21		11.82
44.962	11.75	5.54	0	96.49		11.75
44.964	11.82	5.21	0	96.98		11.82
44.966	11.54	4.87	0	96.82		11.54
44.968	10.85	4.5	0	96.83		10.85
44.97	10.37	4.22	0	96.71		10.37
44.972	10.29	3.9	0	97.11		10.29
44.974	10.22	3.58	0	97.34		10.22
44.976	10.1	3.26	0	97.99		10.1
44.978	9.91	2.96	0	0		9.91
44.98	9.99	2.74	0	0		9.99
44.982	9.71		0	0		9.71
44.984	9.07		0	0		9.07
44.986			0	0		
44.988			0	0		
44.99			0	0		
44.992			0	0		
44.994			0	0		
44.996			0	0		
44.998			0	0		
45			0	0		
45.002			0	0		
45.004			0	0		
45.006			0	0		
45.008			0	0		
45.01		1.34	5.47	103.32		
45.012		1.27	5.99	104.23		
45.014	9.04	1.17	6.07	105.17		9.04
45.016	9.02	1.1	6.1	106.3		9.02
45.018	8.75	1.06	6.13	107.19		8.75
45.02	8.5	1	6.19	107.9		8.5
45.022	8.07	0.94	6.14	108.32		8.07
45.024	7.7	0.88	6.21	109.56		7.7
45.026	7.25	0.83	6.21	110.37		7.25
45.028	7.24	0.81	6.19	110.93		7.24
45.03	7.02	0.79	6.17	111.46		7.02
45.032	6.96	0.78	6.19	111.71		6.96
45.034	6.82	0.79	6.17	112.02		6.82
45.036	6.4	0.85	6.18	112.64		6.4
45.038	6.26	0.88	6.12	112.88		6.26
45.04	6.42	0.93	6.1	113.12		6.42
45.042	6.31	0.95	6.04	113.45		6.31
45.044	6.63	0.98	6.02	113.89		6.63
45.046	6.64	1	6.01	114.26		6.64
45.048	7.12	1.01	5.96	114.75		7.12
45.05	6.99	1.04	5.87	115.21		6.99
45.052	6.8	1.08	5.88	115.77		6.8
45.054	6.76	1.15	5.87	116.05		6.76
45.056	6.77	1.26	5.86	116.6		6.77
45.058	6.85	1.42	5.85	116.99		6.85
45.06	6.73	1.62	5.8	117.41		6.73
45.062	6.68	1.83	5.71	117.63		6.68
45.064	6.54	2.06	5.72	118		6.54
45.066	6.5	2.28	5.66	118.57		6.5
45.068	6.51	2.48	5.67	119.13		6.51
45.07	6.21	2.65	5.64	119.49		6.21
45.072	5.93	2.8	5.67	119.83		5.93
45.074	5.88	2.86	5.6	120.3		5.88
45.076	5.62	2.84	5.62	120.54		5.62
45.078	5.37	2.76	5.59	120.91		5.37
45.08	5.29	2.57	5.64	121.36		5.29
45.082	5.33	2.37	5.58	121.9		5.33
45.084	5.42	2.11	5.59	122.26		5.42
45.086	5.18	1.87	5.6	122.5		5.18
45.088	5.16	1.67	5.6	122.96		5.16
45.09	5.26	1.49	5.57	123.28		5.26
45.092	4.95	1.33	5.54	123.51		4.95
45.094	4.86	1.21	5.58	123.86		4.86
45.096	4.96	1.14	5.57	124.14		4.96
45.098	5.04	1.06	5.59	124.42		5.04
45.1	4.82	1.03	5.61	124.92		4.82
45.102	4.71	1.02	5.62	125.07		4.71
45.104	4.73	1.06	5.57	125.26		4.73
45.106	5.15	1.13	5.55	125.77		5.15
45.108	4.87	1.21	5.51	126.09		4.87
45.11	4.9	1.31	5.54	126.47		4.9
45.112	5.19	1.46	5.46	126.68		5.19
45.114	4.99	1.66	5.46	127.2		4.99
45.116	5.15	1.9	5.46	127.76		5.15
45.118	5.11	2.1	5.46	128.27		5.11
45.12	5.06	2.32	5.41	128.7		5.06
45.122	5.46	2.47	5.33	129.07		5.46
