depth	ECM
6.115	17.789
6.125	17.301
6.135	14.387
6.145	8.219
6.155	10.579
6.165	8.072
6.175	4.817
6.185	7.047
6.195	3.971
6.205	7.096
6.215	9.439
6.225	14.81
6.235	16.145
6.245	16.568
6.255	19.547
6.265	21.809
6.275	23.632
6.285	7.681
6.295	22.883
6.305	21.842
6.315	17.968
6.325	18.961
6.335	19.01
6.345	18.554
6.355	20.963
6.365	16.698
6.375	14.517
6.385	29.98
6.395	20.23
6.405	28.922
6.415	31.64
6.425	21.598
6.435	17.349
6.445	15.95
6.455	11.685
6.465	8.593
6.475	15.933
6.485	16.373
6.495	12.223
6.505	15.168
6.515	15.738
6.525	19.351
6.535	16.471
6.545	21.06
6.555	24.82
6.565	16.405
6.575	8.853
6.585	11.783
6.595	16.145
6.605	16.5275
6.615	16.91
6.625	16.226
6.635	13.101
6.645	17.48
6.655	36.148
6.665	30.728
6.675	23.73
6.685	16.812
6.695	18.945
6.705	20.035
6.715	17.577
6.725	24.478
6.735	26.627
6.745	16.422
6.755	28.515
6.765	23.746
6.775	18.977
6.785	18.033
6.795	12.76
6.805	18.668
6.815	21.288
6.825	22.476
6.835	21.484
6.845	19.205
6.855	17.008
6.865	24.185
6.875	19.661
6.885	22.183
6.895	24.283
6.905	22.07
6.915	26.09
6.925	33.007
6.935	29.703
6.945	24.674
6.955	20.116
6.965	20.4257
6.975	20.7354
6.982	21.0451
7.005	21.3549
7.015	21.6646
7.025	21.9743
7.035	22.284
7.045	20.64
7.055	18.313
7.065	19.37
7.075	27.329
7.085	28.697
7.095	32.798
7.105	32.505
7.115	17.857
7.125	30.682
7.135	29.771
7.145	49.742
7.155	51.304
7.165	38.3
7.175	34.507
7.185	33.449
7.195	24.058
7.205	22.3163
7.215	20.5747
7.225	18.833
7.235	23.456
7.245	26.89
7.255	26.418
7.265	23.716
7.275	23.863
7.285	24.595
7.295	26.109
7.305	33.71
7.315	34.751
7.325	28.729
7.335	25.767
7.345	29.869
7.355	23.472
7.365	25.767
7.375	19.273
7.385	25.23
7.395	22.512
7.405	16.441
7.415	9.849
7.425	11.184
7.435	13.706
7.445	15.171
7.455	14.244
7.465	12.144
7.475	13.999
7.485	14.5605
7.495	15.122
7.505	28.55
7.515	37.876
7.525	29.771
7.535	21.828
7.545	19.37
7.555	21.372
7.565	16.245
7.575	14.683
7.585	15.171
7.595	17.613
7.605	18.052
7.615	18.28
7.625	18.54
7.635	30.113
7.645	30.894
7.655	30.52
7.665	30.308
7.675	29.917
7.685	29.234
7.695	27.281
7.705	25.441
7.715	22.544
7.725	27.525
7.735	28.013
7.745	27.785
7.755	18.785
7.765	32.31
7.775	29.673
7.785	29.136
7.795	25.328
7.805	35.044
7.815	35.175
7.825	24.449
7.835	18.052
7.845	24.79
7.855	31.333
7.865	32.798
7.875	27.964
7.885	27.525
7.895	34.426
7.905	35.142
7.915	40.122
7.925	37.193
7.935	31.04
7.945	32.961
7.955	33.6477
7.965	34.3343
7.9745	35.021
8.005	35.7077
8.015	36.3943
8.025	37.081
8.035	38.985
8.045	32.556
8.055	18.087
8.065	38.22
8.075	37.992
8.085	44.503
8.095	37.244
8.105	26.632
8.115	25.492
8.125	20.121
8.135	20.382
8.145	16.378
8.155	21.798
8.165	19.177
8.175	15.548
8.185	16.833
8.195	17.696
8.205	18.868
8.215	16.638
8.225	18.966
8.235	19.763
8.245	19.649
8.255	11.104
8.265	14.083
8.275	12.797
8.285	23.507
8.295	27.51
8.305	27.657
8.315	29.464
8.325	29.708
8.335	24.451
8.345	24.19
8.355	19.405
8.365	17.696
8.375	17.257
8.385	17.403
8.395	17.305
8.405	14.425
8.415	13.741
8.425	12.862
8.435	10.714
8.445	9.542
8.455	11.007
8.465	13.204
8.475	14.278
8.485	14.522
8.495	14.262
8.505	11.885
8.515	14.425
8.525	13.253
8.535	15.759
8.545	18.624
8.555	21.163
8.565	16.524
8.575	19.698
8.585	21.846
8.595	22.628
8.605	24.971
8.615	21.684
8.625	25.46
8.635	21.651
8.645	21.602
8.655	25.492
8.665	23.018
8.675	25.362
8.685	30.05
8.695	21.407
8.705	22.1784
8.715	22.9498
8.725	23.7212
8.735	24.4926
8.745	25.264
8.755	26.436
8.765	26.632
8.775	31.156
8.785	35.274
8.795	32.442
8.805	27.169
8.815	30.147
8.825	27.266
8.835	30.57
8.845	37.178
8.855	33.37
8.865	34.704
8.875	30.831
8.885	27.169
8.895	26.501
8.905	17.843
8.915	25.362
8.925	24.516
8.935	19.747
8.945	27.901
8.955	27.462
8.965	28.5994
8.974	29.7368
9.005	30.8742
9.015	32.0116
9.025	33.149
9.035	31.066
9.045	24.93
9.055	21.902
9.065	24.36
9.075	26.15
9.085	28.543
9.095	26.704
9.105	25.955
9.115	25.516
9.125	25.825
9.135	27.029
9.145	27.485
9.155	31.522
9.165	27.094
9.175	25.857
9.185	18.859
9.195	16.824
9.205	18.631
9.215	21.854
9.225	22.83
9.235	21.886
9.245	22.928
9.255	25.857
9.265	24.653
9.275	23.595
9.285	22.537
9.295	26.411
9.305	26.199
9.315	28.429
9.325	25.988
9.335	27.908
9.345	27.485
9.355	24.539
9.365	22.635
9.375	23.221
9.385	19.315
9.395	19.868
9.405	21.609
