depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F
40.144	0.968378	57.2756	36	0.775855	56.6009	1489.48	1486.5	11.8198	63.8506	9.98453	0.463495	33.7491	
40.16	0.930342		-5.82221	0	52.2206	1198.22	1197.4	3.23456	31.8936	3.47333	0.715261	8.01326	
40.18	1.2689	67.5577	41.1964	0.251857	61.789	946.605	942.914	14.6452	29.8909	5.6952	10.0528	57.3783	
40.2	2.15921	48.1005	-848.838	0	82.1448	332.195	206.624	498.299	57.1974	13.7357	1.38892	11.1188	
40.216	2.29263	20.1305	1.6634	0	94.9339	188.015	185.43	10.2595	28.9046	0.447547	1.41271	6.63068	
40.232	2.71433	20.9271	15.0078	0.878445	117.761	148.931	148.102	3.2885	23.9183	8.59587	0.847285	2.1853	
40.248	3.07543	11.7871	8.9937	0.466554	106.621	88.1132	87.7221	1.55187	33.8491	0.475505	0.49337	3.46088	
40.264	2.88329	23.421	19.1555	0	112.882	35.9116	35.3144	2.36973	37.229	5.6339	49.6494	72.8327	
40.28	3.17386	13.5072	11.7914	0	105.009	22.6287	22.3885	0.953215	1.33459	40.2558	0.271503	1.56712	
40.296	2.7596	21.8893	16.5882	0.309156	102.871	48.9592	48.2171	2.94503	46.2785	3.53473	1.77989	18.2928	
40.312	3.22989	16.8591	13.8651	0	88.0924	17.3383	16.9191	1.66335	48.2765	0.343694	1.03765	6.07544	
40.328	3.04311	15.4413	7.9848	0	87.2887	20.87	19.8261	4.1425	38.8158	5.17523	1.03328	8.13214	
40.344	2.25976	19.6623	11.853	0.913848	113.852	21.2983	20.205	4.33848	73.4869	6.89217	0.902735	4.36144	
40.36	3.87487	42.6624	17.2556	0	112.052	40.1023	36.5453	14.1149	67.3375	24.1522	1.16301	46.807	
40.376	4.27938	40.3045	33.0164	0	134.663	26.1301	25.1097	4.04891	102.473	12.6103	1.18089	12.3158	
40.392	2.95283	8.88132	6.20099	0	89.3952	11.4395	11.0643	1.48907	55.1438	3.76133	0.39589	1.58792	
40.408	2.64262	8.89538	7.68818	1.76965	71.5499	8.69863	8.52962	0.670666	24.1746	0.400911	0.283396	3.10378	
55.9	0.875223	21.8113	0.15455	0	66.9591	35.9973	32.9653	12.0315	1.26195	3.74009	3.30196	6.5117	1.90772
55.92	3.6542	19.6258	-107.679	0	950	35	17.1774	70.7248	1.67587	7.18301	1.94011	14.7659	3.2158
55.935	3.03482	21	0.31692	0	74	37.8451	34.9495	11.4906	1.51151	1.24343	4.02415	6.37815	
55.95	2.86018	33.4683	-7.03818	0	71.4138	88.6514	82.9805	22.5036	1.24823	4.06272	7.53014	62.1187	
55.965	0.687661	20.1343	-0.59216	0	70.01	85.2533	82.3516	11.5147	1.30543	1.13565	4.05653	9.47863	4.57017
56	0.582361	8.33954	0.943952	0	75.8743	86.9539	85.9185	4.10866	1.43627	2.24393	1.45909	3.89931	
56.018	0.607492	7.80172	4.17063	0	84.2219	105.237	104.729	2.01727	1.37195	1.1316	5.65874	0	
56.033	0.560331	21.4784	0.49292	0	76.9409	200.332	197.394	11.6586	1.70482	1.45405	6.323	10.2867	
56.048	0.382366	32.0042	-0.35355	0	66.215	226.224	221.693	17.9765	1.87972	4.10338	4.5191	9.70618	2.43961
56.063	0.459313	43.1377	22.7272	0	47.4577	246.341	243.484	11.3392	0.928046	1.33117	1.24681	50.1014	1.65345
56.078	1.31395	74.2995	54.8179	0	42.9857	243.26	240.533	10.8231	1.53354	2.41754	0.710546	2.90114	1.10092
56.093	0.400077	69.7421	57.1225	0	59.2552	251.645	249.879	7.01088	3.65156	2.25651	0.895477	3.03618	0.220743
56.108	0.57987	61.2428	44.482	0	44.8165	254.403	252.056	9.31154	2.48842	1.57872	2.75274	7.23278	
56.123		33.2061	-265.866	0	68.9635	133.548	91.6779	166.151	27.4096	37.4861	6.03145	52.539	
56.138	1.55515	11	4.42406	1.17595	100	90	89.0794	3.6533	4.13963	2.53407	1.22597	6.96583	0.784173
56.153	0.702126	19.8531	4.53488	0	111.308	64.9998	62.8552	8.51015	4.26331	1.86966	5.14847	15.9883	0.584155
56.168		33.6083	33.6083	0	107.693	113.821	113.821						
56.183	0.824708	19.3051	2.0574	0	106.888	59.2075	56.7928	9.58203	5.75697	2.98587	5.93142	27.6198	1.81716
56.198	0.778343	41.8553	-16.998	0	111.273	25.2963	17.0568	32.6963	2.34005	30.4056	3.04241	19.4628	4.09338
56.213	0.735914	20	16.355	0	106.798	36.8052	36.2949	2.02498	10.4028	1.67203	3.09262	8.10469	2.8871
56.228	0.7825	8.59244	5.15152	0	106.824	36.7983	36.3166	1.91162	6.36783	1.06208	1.34172	2.97784	1.64889
56.243	0.796403	11.2497	3.08795	0	112.24	49.9423	48.7996	4.53428	13.6105	4.36183	2.57158	11.8227	0.992379
56.258	0.782429	16.305	3.87554	0	91.0827	50.9573	49.2172	6.90523	5.02303	1.09092	4.77562	43.687	0.573038
64.15	0.576359	33.868	-11.5663	0	90.5225	43.102	36.7412	25.2413	11.3558	4.36052	5.90053	40.854	1.18104
64.165	2.62044	23.8339	2.89301	0	94.8231	18.9094	15.9777	11.6338	3.33438	2.45775	15.1995	7.46311	
64.18		13.4051	2.60314	0	78.1164	13.2503	11.7381	6.00109	4.02701	0.477059	9.22801	2.46128	
64.195	0.507514	12.2937	-0.312406	0	96.934	31.5825	29.8176	7.00342	7.01051	2.24586	5.00009	16.3973	
64.21	0.477683	15.763	4.17619	0	117.975	33.6101	31.988	6.43709	24.3587	2.24309	7.22127	5.93423	1.5843
64.225	0.532798	14.0666	7.1017	0	144.761	29.3565	28.3814	3.86939	25.0612	5.2592	8.85797	2.71581	1.91403
64.24	0.768518	34.9318	16.7941	0	121.464	55.7249	53.1857	10.0765	15.6198	1.71164	5.6727	50.2576	1.06251
64.255	0.881706	60.9646	-10.0917	0	118.884	42.779	32.8312	39.4757	8.75275	3.95061	0.889393	53.9145	0.686693
64.27	0.850619	62.8421	-14.8576	0	115.754	48.8353	37.9573	43.1665	3.92824	1.17966	8.15378	40.0016	0.73061
64.285	2.87006	48.3058	2.41879	0	123.624	58.9145	52.4903	25.4928	6.87437	0.906713	20.4623	9.65709	2.08149
64.3	0.604056	50	25.8672	0.868494	202.408	117.588	114.21	13.4071	60.8456	5.04839	11.9021	15.1045	0.583627
64.315	0.607721	45.5725	-26.7094	0.372531	206.675	162.889	152.77	40.1566	53.8584	16.6764	13.3191	95.0488	1.12872
64.33	0.698753	30.3215	20.9575	1.6351	289.988	113.952	112.641	5.20227	116.722	7.95305	4.656	10.3178	1.2908
64.345	0.792026	13.9876	-0.477844	0	162.278	43.1187	41.0935	8.03633	31.7896	5.96887	3.34943	22.2645	0.483272
64.36	0.78238	111.972	-81.9029	0	165.238	43.9209	16.7785	107.708	30.6462	103.968	4.99715	50.7359	2.95386
64.375	1.6819	21.1167	0.506307	0.453733	164.917	58.3184	55.4329	11.4502	25.3728	6.75072	2.92784	26.3746	0.977085
64.39	0.709811	29.7834	-11.7442	0	127.865	69.0636	63.2497	23.0709	12.4982	4.62293	8.17154	6.36956	0.602722
64.405	0.612095	11.7375	0.972568	0	139.26	64.3756	62.8685	5.98049	17.124	2.12071	2.29891	1.61829	0.368442
64.42	0.726711	14.6319	-0.749176	1.46336	145.125	146.792	144.639	8.54507	45.6144	0.233982	2.63106	4.88244	1.88632
64.435	1.12891	30.9294	-87.8776	0.921375	76.2127	117.624	100.991	66.0039	39.2448	35.8513	1.87273	70.9986	1.6157
64.45	0.704764	28.5212	2.9351	1.11469	97.2066	267.786	264.204	14.2145	34.9289	5.72118	3.86578	11.7726	0.792913
64.465	0.669233	50.0778	-113.87	0	49.7196	341.474	318.522	91.0823	7.09464	18.4987	9.10196	30.0499	1.57738
64.48	0.580108	46.1641	-9.53083	0	56.2735	356.094	348.297	30.9416	12.0727	4.38996	7.14036	7.91903	
64.51	1.41203	22.4775	-9.88113	0	84.7782	240.719	236.189	17.977	9.89188	2.76727	1.94414	5.35857	1.14742
64.525	1.21416	25.06	-110.446	0.213971	154.069	196.085	177.114	75.2812	54.0563	11.7919	1.63635	12.6177	0.841078
64.54		19.4073	-7.24206	0	172.124	148.115	144.384	14.8052	82.258	8.0129	1.53482	7.7048	
