depth	MSA	Cl	Clx	Br	NO3	SO4	SO4nss	Na	NH4	K	Mg	Ca	F	pH
58.166	2.50412	10.557	1.04036	0	59.3528	44.6889	43.3543	5.29585	44.7176	1.16619	6.18308	2.05403	0.884019	-0.7711
58.188	2.15022	10.9442	1.96969	0	81.5621	36.742	35.4835	4.99416	28.4376	1.23187	5.74683	1.95947	0.879999	0.6788
58.21	1.84144	7.56279	1.60388	0.443813	104.839	29.6596	28.824	3.31603	9.93564	0.926214	6.09525	2.95977	1.8818	0.4446
58.229	1.98718	10.7776	7.61549	0.64721	102.222	31.5936	31.1502	1.75966	11.481	1.2933	3.80756	0.699979	0.919877	0.8434
58.248	1.89037	16.9788	10.9921	0.414902	118.168	77.0912	76.2517	3.33152	24.1644	1.76305	5.25809	5.17466	0.726548	0.614546
58.267	2.26779	18.2622	13.219	0	132.024	83.1433	82.4361	2.80643	31.7235	1.95953	6.05603	10.2119	1.02734	0.881692
58.286	2.0797	24.5492	8.31224	0	121.219	93.5018	91.2248	9.03559	15.7371	1.10949	9.9786	17.95	0.989716	0.6145
58.305	2.7659	55.8615	17.0562	0	101.622	44.5153	39.0735	21.5945	10.3621	2.16925	8.49567	12.7703	2.65545	0.7168
58.324	2.68313	84.398	-1.40731	0	97.0147	95.0055	82.9727	47.7492	3.89018	2.17878	9.81752	25.3252	2.41759	0.6788
58.343	1.81189	31.4245	13.6418	0.767323	131.249	138.034	135.54	9.89576	33.2512	2.9245	12.4923	16.0065	1.18851	0.978418
58.362	2.47103	41.5722	36.1812	0.986722	185.245	177.81	177.054	3	84	4	7	10	0.879138	1.32924
58.381	2.66224	16.6478	13.2621	0	70.79	41.2506	40.7758	1.88411	4.20046	1.18795	3.73873	3.25579	1.3679	1.14466
58.4	2.24312	14.7364	2.79914	0	68.4504	32.6817	31.0077	6.64288	5.20245	1.33542	5.29274	1.58682	0.645832	0.688522
58.42	2.94281	9.56165	0.0506501	0	62.0148	22.778	21.4442	5.29271	5.48346	2.31838	4.20077	2.13041	0.634771	-1.00017
66	3	22	6.04074	0	41	38	35.762	8.88106	5.19458	1.4555	10.4904	3.71879	2	0.645
66.018	1	23	5.57888	0	57	30	27.557	9.69456	6.23174	1.91976	9.09251	1.52534	1	0.250382
66.036	2.17087	9.10316	3.36748	0	62.8098	27.6028	26.7985	3.19181	8.03437	1.24527	8.7866	0.544087	1.04181	0.830521
66.054	1.32628	7.0791	2.81617	0	71.8102	24.9693	24.3715	2.37225	11.7199	2.19523	8.06976	0.746847	1.35978	0.3958
66.072	1.51479	19.5319	14.1409	0.418094	173.811	55.4552	54.6992	3	64	3	7	5	0	0.5367
66.09	1.70849	32.0429	17.6669	0	139.273	45.4849	43.4689	8	40	2	10	8	0.887169	0.4768
66.108	2.11821	80.8092	2.42011	0	46.4775	44.0828	33.09	43.6222	5.68682	2.13353	11.7503	8.12928	1.04201	0.504442
66.126	2.48054	72.8014	14.9621	0	42.2188	53.6063	45.4953	32.1866	9.32927	2.60148	12.636	4.58724	1.08852	0.445
66.144	2.2847	11.4384	3.16566	0	58.5198	17.9757	16.8156	4.60364	10.4343	2.25224	5.90276	4.62791	0.756294	-1.56132
66.162	2.47771	5.81068	1.013	0.391991	92.0006	20.1563	19.4835	2.66983	9.57412	1.16772	4.63039	2.04269	0	0.884202
66.18	2.37836	5.07552	2.66294	0.283616	102.922	16.101	15.7627	1.34256	23.7881	1.51203	5.1457	0.409629	0	0.8305
66.198	2.22099	8.9732	6.79006	0.371417	90.939	18.1128	17.8067	1.21488	17.7074	1.16879	6.98342	0	0.864767	1.15
66.216	2.51131	38.478	16.0647	0	73.0526	39.8891	36.746	12.4726	10.7889	2.07479	10.9018	2.65037	0.878852	0.855085
66.234	2.54932	48.5607	7.2297	0	61.9627	36.9435	31.1475	23	3	2	6	16	0.699657	0.707504
66.252	1.4735	44.8874	2.53409	0	48.4775	45.0667	39.1273	23.5689	9.79154	1.44502	9.34995	4.76695	2.70005	-0.555
66.27	1.15128	13.5481	-1.47726	0.356045	50.0135	13.4367	11.3296	8.36136	41.6184	4.04469	7.05474	4.56353	0.894615	-2.59716
66.285	2.73568	4.0613	0.18323	0.692608	112.521	18.5725	18.0287	2.15808	31.4336	1.17597	5.1745	1.61632	1.08268	0
66.3	2.69705	12.1615	1.81392	0.299829	147.481	22.7363	21.2852	5.75825	44.6118	1.12218	5.27673	0.899985	0.903636	0.573
66.318	3.65555	8.89288	4.04226	0	69.2022	31.7594	31.0792	2.69929	5.70996	1.761	5.99939	5.32654	0.771839	0.49927
66.336	4.46302	30.9236	8.00071	0	28.263	55.9123	52.6977	12.7562	7.26803	1.35364	5.46913	9.67231	1.04272	
66.354	3			0									1.42914	0.892
66.372	3	173	-8.497	0	37	101	75.548	101	5	3	23	11	2	
66.39	2.50595	58.67	31.881	0	79.9404	44.9587	41.202	14.9076	36.8474	3.79861	7.38506	3.93879	0.759562	0.678873
66.408	2.85248	9.82599	3.78872	0	78.5064	47.6236	46.777	3.35964	17.7408	1.43217	5.77109	1.51624	0.579839	0.6437
66.426	2.98196	15.5832	4.00434	0.623506	67.312	67.163	65.5393	6.44344	12.0703	1.55933	6.88669	1.95354	0.481434	0.940321
66.444	3.11059	14.2033	1.09343	0	59.0469	68.9004	67.062	7.29542	3.86052	1.41756	6.92292	2.54232	0	0.843472
66.462	2.88785	27.6582	-3.12297	0	49.1436	101.37	97.0534	17.1292	3.63564	2.00884	9.82462	3.79804	0.830867	1.23
66.48	2.72464	25.8439	6.58994	0	56.9761	62.6889	59.9888	10.7145	6.22477	1.25385	10.0288	1.26465	0.602978	0.602118
66.498	2.82128	16.1985	1.8225	0	68.681	67.7836	65.7676	8	6	2	9	3	0.64039	1.03763
66.516	2.65889	10.1633	6.69737	0	133.485	94.6102	94.1242	1.92873	44.3807	2.21405	5.91398	0.596628	0.544039	1.47142
66.534	2.29124	8.96708	5.71429	0.562383	174.243	154.491	154.035	1.81012	53.5003	1.89482	2.02965	2.17078	0.746273	3.00183
66.552	2.34592	37.9133	28.9148	0.685743	63.3213	137.15	135.888	5.00752	5.87186	1.75036	4.15972	0.100251	1.62661	3.42682
66.567	2.13089	108.883	-11.516		24.9365	303.749	286.865	67	6	5	17	11.8869	0.665177	3.30263
66.582	2.39819	91.6195	-7.2155	0.690941	39.4482	334.338	320.478	55	18	5	14	16	1.00545	3.33237
66.597	2.60778	9.03303	4.61579	0.592424	70.3697	92.7262	92.1068	2.45812	2.13476	1.01965	3.55699	0.85556	0.725698	1.50766
66.615	2.05739	8.83515	5.53349		63.3582	121.467	121.004	1.83732	3.46781	0.833354	2.75349	0	0.687028	3.10611
66.633	2.10948	17.2412	5.30096		56.1921	215.148	213.474	6.64454	2.99874	1.94485	4.72903	5.29779	0.745344	3.4051
66.651	1.83347	26.5411	9.13503		57.7818	207.991	205.55	9.68618	3.03932	4.38532	5.68546	6.25292	0.900838	3.17722
66.666	1.62878	33.3332	18.1555		60.4545	75.2668	73.1384	8.44613	2.96296	1.15283	3.77897	0	0.698641	1.60343
66.681	1.60985	14.3203	3.59284	0.697511	97.8197	50.6813	49.1769	5.96965	3.71684	1.7223	3.63109	0	0.693151	1.91993
66.696	1.66852	17.5236	5.55057	0.687442	115.401	56.2357	54.5567	6.66279	4.33154	2.63194	3.57997	2.6256	0.725673	1.0772
66.714	1.81394	16.9447	8.80932		109.337	38.3243	37.1834	4.5272	4.99344	1.52648	4.1896	2.0356	0.957646	1.04216
66.732	1.5314	15.5122	6.78618		108.923	34.6934	33.4697	4.85588	4.64066	1.23015	4.06051	2.85157	0.920157	1.01304
66.75	1.66577	17.6458	8.17908		110.814	37.6077	36.2801	5.26807	3.65367	1.08707	4.0446	3.54792	1.0026	0.553582
66.77	1.8481	13.8608	6.85733		102.619	26.8967	25.9146	3.89731	4.21582	1.89221	3.53508	1.3082	0.904775	0.927835
66.79	1.62526	42.6232	3.02613		74.3016	24.1908	18.638	22.0351	6.08002	1.70937	7.81471	0	1.5238	0.255624
66.808	1.3381	41.6264	4.57478	0.587737	61.3551	30.6588	25.4629	20.6186	4.56627	2.27722	7.60378	0	0.621964	0.547546
66.826	1.25783	13.1522	0.0687282	0.732574	80.9332	36.7975	34.9628	7.28073	6.49551	3.29041	4.25854	0.160125		0.728256
66.844	1.73471	9.25316	3.14221	0.752941	61.6353	33.6603	32.8033	3.40064	3.56628	1.0123	4.78785	0.660745	1.06688	-0.814922
66.862	2.03998	13.7809	10.1869	1.54697	241.161	73.1726	72.6686	2	56	2	10	18	2.44892	-0.848207
66.88								3.1718	9.13972	2.9596	6.96652	7.08274		
66.896									0.951667	1.60072	0.0573316	0		

