depth	d18O
42.2857	
42.3143	
42.3429	
42.3714	
42.4	-34.9962
42.4286	
42.4571	
42.4857	
42.5143	
42.5429	-35.3718
42.5714	
42.6	
42.6286	
42.6571	
42.6857	
42.7143	
42.7429	-34.9904
42.7714	
42.8	
42.8286	
42.8571	
42.8857	
42.9143	
42.9429	-34.7141
42.9714	
43	
43.0312	
43.0625	
43.0938	
43.125	
43.1562	
43.1875	-32.0247
43.2188	
43.25	
43.2812	
43.3125	-33.7821
43.3438	-34.2499
43.375	
43.4062	-35.0521
43.4375	-35.2383
43.4688	-35.7436
43.5	
43.5312	-35.4368
43.5625	
43.5938	-35.9345
43.625	
43.6562	
43.6875	-35.8406
43.7188	
43.75	-34.9564
43.7812	
43.8125	-35.1788
43.8438	
43.875	
43.9062	
43.9375	
43.9688	
44	
44.0303	
44.0606	-35.7681
44.0909	
44.1212	-35.6621
44.1515	-35.7566
44.1818	
44.2121	
44.2424	
44.2727	
44.303	-34.9443
44.3333	-34.7401
44.3636	
44.3939	
44.4242	
44.4545	
44.4848	-33.5697
44.5152	-33.3973
44.5455	
44.5758	
44.6061	
44.6364	-34.2742
44.6667	-34.7104
44.697	
44.7273	-35.2885
44.7576	
44.7879	-35.7442
44.8182	
44.8485	-34.8068
44.8788	
44.9091	
44.9394	
44.9697	
45	-34.3737
45.037	-34.2842
45.0741	-34.0541
45.1111	-33.9347
45.1481	-33.9533
45.1852	-34.0297
45.2222	-34.3355
45.2593	-34.6739
45.2963	-35.0406
45.3333	-35.4575
45.3704	-35.4449
45.4074	-35.5563
45.4444	-35.3002
45.4815	-34.9589
45.5185	-34.9113
45.5556	-34.6881
45.5926	-34.5546
45.6296	-34.3089
45.6667	-33.998
45.7037	-33.755
45.7407	-33.8583
45.7778	-34.1075
45.8148	-34.0852
45.8519	-34.4615
45.8889	-34.6685
45.9259	-35.001
45.963	-35.2212
46	-34.8064
46.0278	-34.7819
46.0556	-34.7904
46.0833	-34.6985
46.1111	-34.3584
46.1389	-34.3159
46.1667	-33.9647
