iceDepth	density	weDepth	d18O
86.29	846.153846153871	59.3	-37.2
86.42	923.07692307699	59.41	-37.6
86.55	785.714285714279	59.53	-37.5
86.69	846.153846153871	59.64	-38
86.82	923.076923076835	59.75	-38.1
86.95	846.153846153871	59.87	-37
87.08	846.153846153926	59.98	-36.8
87.21	923.076923076835	60.09	-36.8
87.34	785.714285714279	60.21	-37.2
87.48	846.153846153871	60.32	-37.9
87.61	923.076923076936	60.43	-38.1
87.74	846.153846153779	60.55	-37.9
87.87	923.07692307699	60.66	-37.4
88	846.153846153871	60.78	-36.9
88.13	846.153846153779	60.89	-37.2
88.26	857.142857142835	61	-38
88.4	846.153846153871	61.12	-38
88.53	846.153846153926	61.23	-36.9
88.66	923.076923076835	61.34	-36.2
88.79	846.153846153871	61.46	-36.1
88.92	923.076923076936	61.57	-35.9
89.05	846.153846153779	61.69	-35.6
89.18	846.153846153871	61.8	-36.2
89.31	923.07692307699	61.91	-35.8
89.44	785.714285714279	62.03	-34.8
89.58	846.153846153871	62.14	-36.2
89.71	923.076923076835	62.25	-37.5
89.84	846.153846153871	62.37	-37.7
89.97	923.07692307699	62.48	-37.7
90.1	846.153846153779	62.6	-37.5
90.23	846.153846153871	62.71	-37.1
90.36	923.076923076936	62.82	-37.1
90.49	846.153846153779	62.94	-37.4
90.62	846.153846153871	63.05	-36.4
90.75	857.142857142886	63.16	-35.9
90.89	846.153846153871	63.28	-36.1
91.02	846.153846153779	63.39	-36.4
91.15	923.076923076936	63.5	-36.1
91.28	846.153846153871	63.62	-35.7
91.41	923.076923076889	63.73	-36.5
91.54	846.153846153871	63.85	-37.1
91.67	846.153846153817	63.96	-36.7
91.8	923.076923076889	64.07	-36.7
91.93	846.153846153871	64.19	-38.4
92.06	846.153846153871	64.3	-38.4
92.19	923.07692307699	64.41	-37.3
92.32	846.153846153779	64.53	-37.1
92.45	923.07692307699	64.64	-37.2
92.58	846.153846153871	64.76	-36.8
92.71	846.153846153779	64.87	-36.4
92.84	923.076923076881	64.98	-36.2
92.97	785.714285714279	65.1	-36.3
93.11	846.153846153871	65.21	-36.3
93.24	923.076923076889	65.32	-36.1
93.37	846.153846153871	65.44	-36.4
93.5	846.153846153871	65.55	-37.2
93.63	923.076923076889	65.66	-37.9
93.76	846.153846153871	65.78	-37.6
93.89	923.07692307699	65.89	-36.7
94.02	846.153846153779	66.01	-35.5
94.15	846.153846153871	66.12	-35.3
94.28	923.076923076881	66.23	-35.5
94.41	846.153846153779	66.35	-35.3
94.54	846.153846153871	66.46	-35.7
94.67	923.07692307699	66.57	-35.8
94.8	846.153846153779	66.69	-36.5
94.93	923.07692307699	66.8	-36.3
95.06	846.153846153871	66.92	-35.3
95.19	846.153846153871	67.03	-34.6
95.32	923.076923076889	67.14	-35.1
95.45	846.153846153871	67.26	-35.6
95.58	846.153846153871	67.37	-36.4
95.71	923.07692307678	67.48	-37.2
95.84	846.153846153871	67.6	-37.4
95.97	923.07692307699	67.71	-36.6
96.1	846.153846153779	67.83	-36.7
96.23	846.153846153871	67.94	-37.6
96.36	923.07692307699	68.05	-38.2
96.49	846.153846153779	68.17	-38.4
96.62	846.153846153871	68.28	-38.1
96.75	923.07692307699	68.39	-36.7
96.88	846.153846153779	68.51	-36.2
97.01	846.153846153871	68.62	-36.2
97.14	923.076923076881	68.73	-36.9
97.27	846.153846153779	68.85	-37.5
97.4	923.07692307699	68.96	-38.1
97.53	846.153846153871	69.08	-39.5
97.66	846.153846153779	69.19	-39.8
97.79	923.07692307699	69.3	-38.9
97.92	846.153846153871	69.42	-37.7
98.05	846.153846153779	69.53	-38
98.18	923.07692307699	69.64	-38
98.31	916.666666666627	69.76	-37.2
98.43	923.076923076881	69.87	-36.8
98.56	846.153846153871	69.99	-37.6
98.69	846.153846153871	70.1	-38.4
98.82	923.076923076889	70.21	-38.2
98.95	846.153846153871	70.33	-37.8
99.08	846.153846153871	70.44	-37.2
99.21	923.076923076889	70.55	-36.4
99.34	846.153846153871	70.67	-36.4
99.47	846.153846153871	70.78	-36.8
99.6	923.076923076889	70.89	-37.5
99.73	846.153846153871	71.01	-38
99.86	923.076923076881	71.12	-37.5
99.99	846.153846153779	71.24	-37.6
100.12	846.153846153871	71.35	-36.7
100.25	923.07692307699	71.46	-35
100.38	846.153846153779	71.58	-34.6
100.51	916.666666666736	71.69	-35.3
100.63	923.076923076889	71.8	-36.9
100.76	846.153846153871	71.92	-38.1

