depth	cond
19.86	278
19.863	278
19.867	274
19.87	272
19.873	274
19.877	266
19.88	266
19.883	266
19.887	270
19.89	272
19.893	274
19.897	278
19.9	278
19.903	282
19.907	288
19.91	294
19.913	300
19.917	298
19.92	302
19.923	308
19.927	310
19.93	318
19.933	320
19.937	320
19.94	320
19.943	334
19.947	344
19.95	358
19.953	358
19.957	362
19.96	374
19.963	386
19.967	404
19.97	408
19.973	428
19.977	436
19.98	438
19.983	446
19.987	446
19.99	442
19.993	438
19.997	436
20	438
20.003	248
20.007	320
20.01	390
20.013	414
20.017	410
20.02	432
20.023	416
20.027	422
20.03	418
20.033	420
20.037	420
20.04	420
20.043	418
20.047	408
20.05	398
20.053	408
20.057	404
20.06	408
20.063	404
20.067	402
20.07	386
20.073	386
20.077	388
20.08	384
20.083	362
20.087	358
20.09	342
20.093	326
20.097	326
20.1	326
20.103	308
20.107	300
20.11	314
20.113	314
20.117	324
20.12	320
20.123	326
20.127	358
20.13	362
20.133	348
20.137	350
20.14	340
20.143	334
20.147	296
20.15	260
20.153	250
20.157	248
20.16	250
20.163	248
20.167	268
20.17	280
20.173	280
20.177	282
20.18	284
20.183	296
20.187	298
20.19	292
20.193	296
20.197	304
20.2	306
20.203	304
20.207	302
20.21	306
20.213	306
20.217	310
20.22	310
20.223	312
20.227	310
20.23	306
20.233	308
20.237	310
20.24	308
20.243	308
20.247	312
20.25	318
20.253	322
20.257	324
20.26	328
20.263	340
20.267	342
20.27	342
20.273	342
20.277	342
20.28	338
20.283	334
20.287	326
20.29	322
20.293	320
20.297	320
20.3	312
20.303	304
20.307	284
20.31	284
20.313	282
20.317	278
20.32	282
20.323	282
20.327	280
20.33	288
20.333	296
20.337	298
20.34	300
20.343	296
20.347	296
20.35	298
20.353	300
20.357	302
20.36	302
20.363	300
20.367	298
20.37	296
20.373	292
20.377	288
20.38	288
20.383	284
20.387	280
20.39	278
20.393	278
20.397	282
20.4	282
20.403	282
20.407	280
20.41	276
20.413	274
20.417	280
20.42	282
20.423	288
20.427	292
20.43	292
20.433	296
20.437	296
20.44	300
20.443	308
20.447	312
20.45	310
20.453	310
20.457	308
20.46	308
20.463	306
20.467	308
20.47	308
20.473	306
20.477	302
20.48	308
20.483	316
20.487	324
20.49	340
20.493	350
20.497	356
20.5	356
20.503	324
20.507	326
20.51	324
20.513	336
20.517	342
20.52	346
20.523	358
20.527	366
20.53	366
20.533	376
20.537	378
20.54	378
20.543	376
20.547	372
20.55	372
20.553	372
20.557	374
20.56	372
20.563	370
20.567	368
20.57	370
20.573	370
20.577	372
20.58	372
20.583	372
20.587	362
20.59	354
20.593	354
20.597	348
20.6	340
20.603	328
20.607	334
20.61	334
20.613	342
20.617	342
20.62	342
20.623	332
20.627	328
20.63	326
20.633	320
20.637	316
20.64	316
20.643	316
20.647	306
20.65	298
20.653	300
20.657	298
20.66	298
20.663	292
20.667	288
20.67	288
20.673	290
20.677	290
20.68	292
20.683	278
20.687	274
20.69	274
20.693	278
20.697	278
20.7	278
20.703	280
20.707	280
20.71	284
20.713	284
20.717	282
20.72	282
20.723	284
20.727	284
20.73	290
20.733	294
20.737	294
20.74	290
20.743	296
20.747	302
20.75	306
20.753	306
20.757	302
20.76	300
20.763	306
20.767	310
20.77	314
20.773	318
20.777	320
20.78	320
20.783	324
20.787	328
20.79	326
20.793	332
20.797	334
20.8	338
20.803	338
20.807	344
20.81	348
20.813	356
20.817	364
20.82	366
20.823	394
20.827	410
20.83	412
20.833	418
20.837	426
20.84	432
20.843	436
20.847	438
20.85	442
20.853	446
20.857	450
20.86	454
20.863	468
20.867	478
20.87	474
20.873	462
20.877	464
20.88	444
20.883	430
20.887	414
20.89	416
20.893	396
20.897	384
20.9	380
20.903	372
20.907	360
20.91	334
20.913	332
20.917	296
20.92	292
20.923	294
20.927	330
20.93	348
20.933	350
20.937	376
20.94	382
20.943	394
20.947	454
20.95	452
20.953	456
20.957	460
20.96	452
20.963	456
20.967	456
20.97	452
20.973	448
20.977	446
20.98	440
20.983	438
20.987	436
20.99	436
20.993	430
20.997	428
21	428
21.003	290
21.007	324
21.01	370
21.013	376
21.017	382
21.02	386
21.023	386
21.027	382
21.03	386
21.033	386
21.037	380
21.04	382
21.043	384
21.047	384
21.05	386
21.053	382
21.057	382
21.06	384
21.063	384
21.067	380
21.07	376
21.073	372
21.077	370
21.08	370
21.083	366
21.087	362
21.09	366
21.093	366
21.097	364
21.1	366
21.103	368
21.107	370
