lens,lMeans,lStds
1.045454545454545503e+01,2.651111628224910866e-01,2.544250057148416712e-03
1.069696969696969724e+01,2.661090764463424074e-01,2.243001425765521906e-03
1.093939393939393945e+01,2.656915633165021773e-01,2.201432287916860187e-03
1.118181818181818166e+01,2.660118565109750310e-01,2.300591109675293854e-03
1.142424242424242387e+01,2.660031262025863708e-01,2.243314865307917058e-03
1.166666666666666785e+01,2.650198144981035786e-01,1.892569509469300927e-03
1.190909090909091006e+01,2.658889270020423634e-01,1.853413765475560044e-03
1.215151515151515227e+01,2.666367803022534066e-01,1.927414160960637954e-03
1.239393939393939448e+01,2.661086498956685142e-01,2.164335753413315546e-03
1.263636363636363669e+01,2.669376626609186176e-01,2.351522772581670067e-03
1.287878787878787890e+01,2.672881807338070015e-01,1.909575313489884820e-03
1.312121212121212110e+01,2.673248121327219118e-01,1.985241889927643732e-03
1.336363636363636331e+01,2.670835630664175619e-01,2.769026809814376100e-03
1.360606060606060552e+01,2.673725090962291717e-01,2.941356760895375358e-03
1.384848484848484951e+01,2.663880740210755604e-01,2.478414533133686901e-03
1.409090909090909172e+01,2.664215802506993969e-01,2.663843267730789301e-03
1.433333333333333393e+01,2.679714584760845564e-01,4.418527916290244419e-03
1.457575757575757613e+01,2.660929749154217205e-01,2.698204901923230599e-03
1.481818181818181834e+01,2.692646945828843230e-01,5.500734078868728567e-03
1.506060606060606055e+01,2.656102055355735736e-01,5.193491866838687368e-03
1.530303030303030276e+01,2.679456712013832398e-01,5.681819317509669877e-03
1.554545454545454675e+01,2.662148752434018717e-01,4.723871684652409565e-03
1.578787878787878896e+01,2.672314062471938811e-01,5.254955464808056149e-03
1.603030303030303116e+01,2.672164760568363495e-01,5.202180666629791124e-03
1.627272727272727337e+01,2.671564692909044747e-01,5.140267855892640195e-03
1.651515151515151558e+01,2.669431719677551329e-01,5.456980277481167547e-03
1.675757575757575779e+01,2.652682944922244435e-01,1.144019258278260783e-03
1.700000000000000000e+01,2.654748043101989308e-01,8.189085531025760284e-04
1.724242424242424221e+01,2.653446445179180047e-01,9.030672898474491209e-04
1.748484848484848442e+01,2.668914264061069685e-01,4.740020343724781447e-03
1.772727272727272663e+01,2.691764779081094461e-01,5.723782140997914908e-03
1.796969696969696884e+01,2.731874691922849263e-01,6.045224841703883759e-03
1.821212121212121104e+01,2.650151068265493293e-01,5.817661692851455258e-04
1.845454545454545325e+01,2.688567361113185505e-01,5.953781028837776788e-03
1.869696969696969902e+01,2.693746677600242778e-01,5.757484000373868684e-03
1.893939393939394122e+01,2.690199786665050663e-01,6.475013447843925955e-03
1.918181818181818343e+01,2.687308368986007223e-01,6.502299177814059930e-03
1.942424242424242564e+01,2.671476794686039047e-01,7.769853780397805582e-03
1.966666666666666785e+01,4.192290028610378694e-01,2.188605188059185025e-01
1.990909090909091006e+01,nan,nan
2.015151515151515227e+01,nan,nan
2.039393939393939448e+01,nan,nan
2.063636363636363669e+01,nan,nan
2.087878787878787890e+01,nan,nan
2.112121212121212110e+01,nan,nan
2.136363636363636331e+01,nan,nan
2.160606060606060552e+01,nan,nan
2.184848484848484773e+01,nan,nan
2.209090909090908994e+01,nan,nan
2.233333333333333570e+01,nan,nan
2.257575757575757791e+01,nan,nan
2.281818181818182012e+01,nan,nan
2.306060606060606233e+01,nan,nan
2.330303030303030454e+01,nan,nan
2.354545454545454675e+01,nan,nan
2.378787878787878896e+01,nan,nan
2.403030303030303116e+01,nan,nan
2.427272727272727337e+01,nan,nan
2.451515151515151558e+01,nan,nan
2.475757575757575779e+01,nan,nan
2.500000000000000000e+01,nan,nan
