fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
4.375138750984134184e+00,3.582219745338684813e+00,4.385384977567235332e+00,2.285641797703129308e-01,2.791565205627701829e-01,2.280301513129056323e-01,2.452502838819962394e-01,2.397632111045986530e-02,1.158915000000000077e+02
4.399066988584266369e+00,3.650105787745432817e+00,4.399066988584266369e+00,2.273209302324868397e-01,2.739646624372691908e-01,2.273209302324868397e-01,2.428688409674143178e-01,2.198806622790063642e-02,1.198900000000000006e+02
4.286058053736994999e+00,3.751845140056814465e+00,4.306614687088251792e+00,2.333146185754773894e-01,2.665355212355211556e-01,2.322009449784583901e-01,2.440170282631523302e-01,1.592946874046428235e-02,1.238925000000000125e+02
4.090981344200619318e+00,3.798819827929746928e+00,-1.000000000000000000e+00,2.444401271635230910e-01,2.632396494952941035e-01,-1.000000000000000000e+00,2.538398883294086250e-01,9.399761165885506253e-03,1.278889999999999958e+02
3.916427081729365156e+00,3.920902231225745549e+00,4.106844692798993002e+00,2.553347679228162859e-01,2.550433397793195334e-01,2.434959378311568334e-01,2.512913485110975786e-01,5.513471582853876098e-03,1.318924999999999841e+02
3.804255678428659415e+00,3.860710352234567821e+00,4.123421919379372191e+00,2.628635098503810386e-01,2.590196903585897936e-01,2.425170209481043726e-01,2.548000737190250775e-01,8.826051442605785044e-03,1.358924999999999841e+02
3.604663053478893264e+00,3.969836025162726489e+00,4.023928827075019754e+00,2.774184397165473936e-01,2.518995730960976731e-01,2.485133418045310238e-01,2.592771182057253543e-01,1.290212644513187394e-02,1.398904999999999745e+02
3.557627430534578306e+00,4.274423025937510445e+00,4.252796008914898174e+00,2.810862068965263583e-01,2.339497036048905632e-01,2.351394230769018878e-01,2.500584445261062605e-01,2.194531668172753844e-02,1.438874999999999886e+02
3.571939578524760961e+00,4.568655551096959755e+00,-1.000000000000000000e+00,2.799599427751260916e-01,2.188827738961179603e-01,-1.000000000000000000e+00,2.494213583356220121e-01,3.053858443950406565e-02,1.478954999999999984e+02
3.529039243323511599e+00,5.003866362180182215e+00,-1.000000000000000000e+00,2.833632416788425812e-01,1.998454650104405372e-01,-1.000000000000000000e+00,2.416043533446415592e-01,4.175888833420102197e-02,1.518925000000000125e+02
3.543670159719563895e+00,5.122485087334482046e+00,4.180503637698151920e+00,2.821933066363990217e-01,1.952177474313266103e-01,2.392056284755716689e-01,2.388722275144324614e-01,3.550840597106953711e-02,1.558905000000000030e+02
3.346077346042430456e+00,5.139265674760308933e+00,4.085088293634624002e+00,2.988574072212493715e-01,1.945803278688524318e-01,2.447927506385107754e-01,2.460768285762041929e-01,4.258062127055041446e-02,1.598899999999999864e+02
3.598597469704534202e+00,5.232081828473231333e+00,3.988189218561435379e+00,2.778860398860075187e-01,1.911285092213110548e-01,2.507403598971430503e-01,2.399183030014871987e-01,3.623584752100739159e-02,1.638924999999999841e+02
3.739820200952985285e+00,5.353727915459579378e+00,4.006950215306770424e+00,2.673925339365723630e-01,1.867857343127899972e-01,2.495663650074675111e-01,2.345815444189432997e-01,3.457140121015099543e-02,1.678965000000000032e+02
3.684184065529562346e+00,5.330789073449817117e+00,3.909955790993769220e+00,2.714305209004970187e-01,1.875894893272996300e-01,2.557573674626730797e-01,2.382591258968232706e-01,3.639570475790696036e-02,1.718924999999999841e+02
3.561691572883679768e+00,7.398882506502000744e+00,3.812803640612169254e+00,2.807654676259242477e-01,1.351555453301520326e-01,2.622741935484104170e-01,2.260650688348289084e-01,6.472448224146191975e-02,1.758915000000000077e+02
3.645706422140404079e+00,-1.000000000000000000e+00,3.871637524357555815e+00,2.742952624838336240e-01,-1.000000000000000000e+00,2.582886423919388275e-01,2.662919524378862257e-01,8.003310045947398255e-03,1.798949999999999818e+02
3.450970895160739182e+00,-1.000000000000000000e+00,3.775703403636789357e+00,2.897735247209096143e-01,-1.000000000000000000e+00,2.648513119533678073e-01,2.773124183371387108e-01,1.246110638377090352e-02,1.838899999999999864e+02
3.655389908257715259e+00,-1.000000000000000000e+00,3.677443542696675838e+00,2.735686274509179228e-01,-1.000000000000000000e+00,2.719280359819469250e-01,2.727483317164324239e-01,8.202957344854988619e-04,1.878890000000000100e+02
3.777325037165413235e+00,7.404120805138618699e+00,3.788337646603213482e+00,2.647376093295962796e-01,1.350599249145122693e-01,2.639680232559637463e-01,2.212551858333574317e-01,6.095006327222327047e-02,1.918924999999999841e+02
