lens,lMeans,lStds
9.484848484848484418e+00,2.460650022170715601e-01,8.144620002857243940e-03
9.727272727272726627e+00,2.476848957011674457e-01,7.097388544969566483e-03
9.969696969696970612e+00,2.465884427809906798e-01,6.561187937393014348e-03
1.021212121212121282e+01,2.463701828642192171e-01,7.775148372805476549e-03
1.045454545454545503e+01,2.471221290364686851e-01,7.372891695798399272e-03
1.069696969696969724e+01,2.471045783975686361e-01,6.969019359286101646e-03
1.093939393939393945e+01,2.469376210977523856e-01,7.059356439518617819e-03
1.118181818181818166e+01,2.456142211377064510e-01,9.170426250293630191e-03
1.142424242424242387e+01,2.466648997802231569e-01,7.293443606590617294e-03
1.166666666666666785e+01,2.452646705299133811e-01,9.222343215175773934e-03
1.190909090909091006e+01,2.468847052135768882e-01,8.526850282929368183e-03
1.215151515151515227e+01,2.464118706331743236e-01,7.298557562708750043e-03
1.239393939393939448e+01,2.472160803926782835e-01,7.447531648735120600e-03
1.263636363636363669e+01,2.459652908792990256e-01,8.544128333129367633e-03
1.287878787878787890e+01,2.465962565233721926e-01,7.247008839310168336e-03
1.312121212121212110e+01,2.485300610617666439e-01,6.597418223137641036e-03
1.336363636363636331e+01,2.485516379853227320e-01,5.935830306644998902e-03
1.360606060606060552e+01,2.971744914867921472e-01,5.895575829339822632e-02
1.384848484848484951e+01,2.481872712232568723e-01,6.736183454369498377e-03
1.409090909090909172e+01,2.478935173014800153e-01,6.098346872477954615e-03
1.433333333333333393e+01,2.476545932579259923e-01,6.330004355179441600e-03
1.457575757575757613e+01,2.474440708027167424e-01,6.279917531946710950e-03
1.481818181818181834e+01,2.898525913988937996e-01,5.850631617720934013e-02
1.506060606060606055e+01,6.302428199621933347e-01,5.405902987931781034e-01
1.530303030303030276e+01,6.468812019330116847e-01,5.467788817754501984e-01
1.554545454545454675e+01,3.847577005798031857e-01,1.892775678149200835e-01
1.578787878787878896e+01,7.653205908847575678e-01,4.797507792973708662e-01
1.603030303030303116e+01,7.412120274776743400e-01,4.828844101029539093e-01
1.627272727272727337e+01,7.414705631590413626e-01,4.829713986099243295e-01
1.651515151515151558e+01,7.466693783612528001e-01,4.803641071253393346e-01
1.675757575757575779e+01,1.391046570990321474e+00,2.620000706041913235e-02
1.700000000000000000e+01,1.010766861557808260e+00,5.389470820411909058e-01
1.724242424242424221e+01,6.315984657172356576e-01,5.397673658138646413e-01
1.748484848484848442e+01,2.903005922526369353e-01,5.713672758523344331e-02
1.772727272727272663e+01,2.913662787121920617e-01,5.885225636360447155e-02
1.796969696969696884e+01,6.701658448162859383e-01,5.077690856211893866e-01
1.821212121212121104e+01,6.269678850038045148e-01,5.343344221827763807e-01
1.845454545454545325e+01,7.369907417037143693e-01,4.752532646975764496e-01
1.869696969696969902e+01,7.350884278703245789e-01,4.804951179181971010e-01
1.893939393939394122e+01,6.183587777933220453e-01,5.238546420272998105e-01
1.918181818181818343e+01,3.593051830219369247e-01,1.560364762142766593e-01
1.942424242424242564e+01,6.281970565062224843e-01,5.341699211442814121e-01
1.966666666666666785e+01,7.384922696880491522e-01,4.712299813919074709e-01
1.990909090909091006e+01,7.437712107154971219e-01,4.738804668048041679e-01
2.015151515151515227e+01,1.121119357810633099e+00,3.691170588193731783e-01
2.039393939393939448e+01,1.378544883719245329e+00,1.752609416584531565e-02
2.063636363636363669e+01,1.379314991582737848e+00,1.893917423030476443e-02
2.087878787878787890e+01,1.369121577828711800e+00,4.804617466907649265e-02
2.112121212121212110e+01,1.376059246697010519e+00,1.504402756225705143e-02
2.136363636363636331e+01,1.377027874096641735e+00,1.647819449962837149e-02
2.160606060606060552e+01,1.108739248426060531e+00,3.833115683703561816e-01
2.184848484848484773e+01,1.377509168635098646e+00,1.951988391478931550e-02
2.209090909090908994e+01,6.045508708515824337e-01,6.388008379785972690e-02
2.233333333333333570e+01,5.953186347639890519e-01,6.531575958408854243e-02
2.257575757575757791e+01,5.875643525959446389e-01,6.853177406396397664e-02
2.281818181818182012e+01,1.071735641309060627e+00,3.587317829168839012e-01
2.306060606060606233e+01,1.070598586473684888e+00,3.587474564714835945e-01
2.330303030303030454e+01,1.088087618684905999e+00,3.667320820886144084e-01
2.354545454545454675e+01,1.098079437009381376e+00,3.712195322017013410e-01
2.378787878787878896e+01,1.097848279871299404e+00,3.695907897974843315e-01
2.403030303030303116e+01,1.110179049653447381e+00,3.672061148540532449e-01
2.427272727272727337e+01,1.360213872387838530e+00,4.759589888177881423e-02
2.451515151515151558e+01,1.369504864917979514e+00,1.247131634058802271e-02
2.475757575757575779e+01,1.369556013187732901e+00,1.209631709982868057e-02
2.500000000000000000e+01,1.368105950628123235e+00,1.183330495903908187e-02
