fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
2.342319400074524438e+00,2.429426737805481906e+00,2.420649390799778367e+00,4.269272584977878982e-01,4.116197391090323232e-01,4.131122845798010368e-01,4.172197607288737342e-01,6.891229096742364571e-03,3.591799999999999926e+01
2.479156276963670802e+00,2.401556847653242066e+00,2.415457503146515972e+00,4.033630349534652604e-01,4.163965558330138816e-01,4.140002457908456557e-01,4.112532788591082844e-01,5.664364461111326063e-03,3.837000000000000455e+01
2.388498967715245946e+00,2.399850922671037168e+00,2.388498967715245946e+00,4.186729881472650572e-01,4.166925497551317581e-01,4.186729881472650572e-01,4.180128420165539205e-01,9.335876111997591436e-04,4.080199999999999960e+01
2.501983602221387493e+00,2.494538971661429017e+00,2.488759587410492191e+00,3.996828752643100668e-01,4.008756773737527368e-01,4.018065887354275723e-01,4.007883804578301068e-01,8.691970587842133295e-04,4.319350000000000023e+01
2.635183368322483677e+00,2.592780283700309329e+00,2.597918148972468977e+00,3.794802335279553462e-01,3.856863638953784146e-01,3.849235975334792115e-01,3.833633983189376759e-01,2.763413315226268853e-03,4.554649999999999466e+01
2.601896251089553136e+00,2.540656393097536103e+00,2.558304272013707248e+00,3.843350785340677866e-01,3.935990725533776713e-01,3.908839190628697891e-01,3.896060233834384157e-01,3.888458076846086804e-03,4.784100000000000819e+01
2.503037715796141871e+00,2.507680734996523775e+00,2.524946142192606935e+00,3.995145553297944074e-01,3.987748464325089892e-01,3.960480515959133863e-01,3.981124844527388906e-01,1.490683194251649730e-03,5.012449999999999761e+01
2.611799410029761237e+00,2.653863354037266920e+00,2.662241887905872684e+00,3.828777953466974138e-01,3.768091520155779084e-01,3.756232686980231494e-01,3.784367386867661942e-01,3.177401244544929282e-03,5.237600000000001188e+01
2.908857652833587437e+00,2.909297287672861110e+00,2.911646586345412402e+00,3.437775647171583682e-01,3.437256151982657215e-01,3.434482758620653331e-01,3.436504852591631409e-01,1.445479582106196255e-04,5.457699999999999818e+01
2.856566936389643985e+00,2.883541686202441223e+00,2.870964955222252701e+00,3.500705645161178436e-01,3.467957494025263321e-01,3.483149448344924348e-01,3.483937529177121850e-01,1.338098537113373981e-03,5.675050000000000239e+01
2.998258090479401616e+00,2.987793541870732206e+00,2.986704109398556017e+00,3.335269912804960102e-01,3.346951474344090904e-01,3.348172310920259909e-01,3.343464566023103823e-01,5.815890101589534086e-04,5.891899999999999693e+01
2.973691989358628884e+00,3.028056951423784948e+00,3.020987289388189723e+00,3.362823061630138000e-01,3.302447794219334209e-01,3.310176125244538858e-01,3.325148993698003874e-01,2.682577518016442033e-03,6.104250000000000398e+01
3.130166230345260647e+00,3.060803358071397806e+00,3.067443433744830639e+00,3.194718511450105880e-01,3.267116122840693637e-01,3.260043816942269634e-01,3.240626150411022866e-01,3.258975159877371217e-03,6.314350000000000307e+01
3.127721676906044745e+00,3.154205757198170534e+00,3.151260504201669033e+00,3.197215428033878259e-01,3.170370219881545326e-01,3.173333333333345219e-01,3.180306327082922935e-01,1.201757827959410796e-03,6.524299999999999500e+01
3.084339690230863962e+00,3.092590122631293514e+00,3.087375457642508536e+00,3.242185039369478994e-01,3.233535516659937770e-01,3.238997050146893431e-01,3.238239202058769695e-01,3.571583315489226459e-04,6.730250000000000909e+01
3.169469253926229246e+00,3.129210104250192082e+00,3.126597206047033506e+00,3.155102384291106343e-01,3.195694653554161935e-01,3.198365296514490974e-01,3.183054111453253454e-01,1.979490459631312593e-03,6.934299999999998931e+01
3.173597706030709009e+00,3.186625925607581067e+00,3.195040933774159431e+00,3.150997992277738136e-01,3.138115434146334648e-01,3.129850354745673524e-01,3.139654593723248954e-01,8.701815996265829063e-04,7.136599999999999966e+01
