fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
3.279631678630646974e+00,3.318784485467614953e+00,3.309226386149052956e+00,3.049122883266978667e-01,3.013151364238406127e-01,3.021854304636136246e-01,3.028042850713840717e-01,1.532342699317266977e-03,4.516050000000000608e+01
3.406959894301639480e+00,3.341882513343963801e+00,3.351020756084020391e+00,2.935168100078209275e-01,2.992325421396628271e-01,2.984165341812424765e-01,2.970552954429087622e-01,2.524166744069257593e-03,4.666700000000000159e+01
3.412799929428613765e+00,3.393662039927253904e+00,3.385232886379917261e+00,2.930145395799467201e-01,2.946669374365386007e-01,2.954006514657769311e-01,2.943607094940874358e-01,9.979025161068141338e-04,4.815999999999999659e+01
3.436840518540399625e+00,3.404048775797088311e+00,3.403446116740816763e+00,2.909649122807398958e-01,2.937678235135867122e-01,2.938198419188174926e-01,2.928508592377147002e-01,1.333734961680313772e-03,4.966050000000000608e+01
3.504518404231736994e+00,3.463312831048141138e+00,3.463191536257306247e+00,2.853459119496964957e-01,2.887408815730223011e-01,2.887509944311963950e-01,2.876125959846383418e-01,1.602792969198972399e-03,5.117000000000000171e+01
3.555275166035400058e+00,3.551350186727949776e+00,3.541376514096246542e+00,2.812721809983365073e-01,2.815830451576373239e-01,2.823760749582986396e-01,2.817437670380908421e-01,4.647717080120096966e-04,5.264399999999999835e+01
3.496962623251270941e+00,3.482911429197465214e+00,3.505321896454261843e+00,2.859624501992127921e-01,2.871161154478225064e-01,2.852805047694849105e-01,2.861196901388400882e-01,7.575882520944319295e-04,5.414849999999999852e+01
3.639794314792813790e+00,3.623644446321657497e+00,3.625362140665958854e+00,2.747407994830395883e-01,2.759652650289944331e-01,2.758345128567778470e-01,2.755135257896039747e-01,5.490012090316352331e-04,5.566100000000000136e+01
3.612792515576322305e+00,3.614450439459115927e+00,3.809485783037643181e+00,2.767941960930677125e-01,2.766672324741143441e-01,2.625026202887180138e-01,2.719880162853000605e-01,6.707388108104621501e-03,5.714050000000000296e+01
3.605990783409996681e+00,3.555509007121908649e+00,3.744239631336258700e+00,2.773162939297233454e-01,2.812536821020385491e-01,2.670769230769335367e-01,2.752156330362318104e-01,5.975210247684879447e-03,5.864999999999999858e+01
3.714859437750859250e+00,3.697961220416309480e+00,3.680436029833476841e+00,2.691891891891997068e-01,2.704192771084337754e-01,2.717069368667291984e-01,2.704384677214542454e-01,1.027955755094340238e-03,6.016800000000000637e+01
3.734559034760543739e+00,3.730177254757114813e+00,3.743177247917683470e+00,2.677692307692008389e-01,2.680837750336648728e-01,2.671527244819348335e-01,2.676685767616001632e-01,3.867059213439911092e-04,6.165400000000000347e+01
3.770440703975651342e+00,3.777924763283814880e+00,3.767443533304764447e+00,2.652209856915595521e-01,2.646955835962145342e-01,2.654319809069068947e-01,2.651161833982270122e-01,3.096319216043009483e-04,6.317050000000000409e+01
