,secs0,lMean0,lStd0,secs1,lMean1,lStd1,secs2,lMean2,lStd2,secs3,lMean3,lStd3,secs4,lMean4,lStd4,secs5,lMean5,lStd5,secs6,lMean6,lStd6,secs7,lMean7,lStd7,secs8,lMean8,lStd8,secs9,lMean9,lStd9
11,14.649999999999999,0.5159324941220577,0.011452228619772293,19.556,0.4831938310758379,0.037922934570337234,24.4535,0.46212317072681675,0.029750402061597854,29.34,0.4076587682644286,0.003034840848598333,34.2185,0.4014506085371936,0.0007805647704105234,39.113,0.4197415545525868,0.0015109621745006672,43.9815,0.39869363528141744,0.0010941130823815999,48.875,0.40612698212465453,0.0015989000891062893,53.774,0.38007548867091306,0.018064399502652904,58.6445,0.3389523379892527,0.0028291832399216957
12,15.665,0.5288442650792785,0.0014845614323452114,21.000500000000002,0.4265209665738114,0.004190010604454306,26.3155,0.437600767073729,0.037380255279256015,31.6635,0.40195245567543875,0.004030425718979927,36.992000000000004,0.41946616562640887,0.0013292003124703608,42.331,0.4174678000658452,0.0059302700325439646,47.66,0.3846188981383323,0.002919263449453427,52.9895,0.3839312231992527,0.0010577781160977936,58.326499999999996,0.338448482175026,0.00013759145523630254,63.66,0.34061328093738763,0.017160256161183017
13,16.644,0.5335583337096101,0.006653786564088741,22.426000000000002,0.4456251933878262,0.00260766142432044,28.227500000000003,0.4362151627019533,0.04028351148925774,33.9945,0.4026554228939287,0.001713539796134455,39.782,0.41741779057762124,0.002430416894057691,45.546499999999995,0.3833633983189377,0.002763413315226269,51.320499999999996,0.3661500724078806,0.005139729566230111,57.0925,0.34678022810880765,0.0008454379730995651,62.894999999999996,0.3267479862682074,0.002199853931628122,68.67849999999999,0.3262653182744919,0.0031567079700450537
14,17.6415,0.52237244481098,0.017524051960775455,23.862000000000002,0.4491124623576279,0.02778350513131212,30.111,0.4068284259179564,0.0018788939125518528,36.3345,0.42052589680449187,0.005202031171166956,42.564,0.4077910783544105,0.0025516622987381684,48.7625,0.3983942202300193,0.0027034544468516556,55.0095,0.36084460112180733,0.028751383769624977,61.21000000000001,0.33305950008121604,0.0016656186704500336,67.445,0.3233914388922982,0.002444453156657865,73.669,0.30750773146534854,0.0023820796863867812
15,18.66,0.5370504063200566,0.007999014736852147,25.3345,0.4491602709942388,0.025461364014440106,31.9915,0.4037783160693034,0.001330413134264598,38.658500000000004,0.4216425118189235,0.002450126884123951,45.34,0.38233880193428454,0.004145990890037791,52.003,0.3787259710922802,0.0036912235301754985,58.6445,0.3389523379892527,0.0028291832399216957,65.325,0.33141001781253027,0.019866454471403613,72.0035,0.30974722934228,0.00013124990243825135,78.66149999999999,0.31907628951118067,0.0052751731120834035
16,19.6675,0.5399237435928217,0.0028728259963078455,26.7895,0.434718678239203,0.039376525516818486,33.8955,0.39956910216568514,0.0028658064974515654,40.991,0.4241709399495934,0.002361787140879553,48.111000000000004,0.3949938619016879,0.004196778312351009,55.2255,0.3627221871620192,0.02891231261339608,62.335,0.32620207427321474,0.0041699666801495415,69.444,0.31943659203186286,0.0015202126676571134,76.5385,0.30596424249005455,0.0024047152160599633,83.6645,0.3079221434385872,0.0008133315436053672
17,20.6685,0.46246864803885646,0.05304785556369682,28.227500000000003,0.4362151627019533,0.04028351148925774,35.772499999999994,0.41196985849980167,0.0023749191863184846,43.33250000000001,0.4011935340163298,0.002962235111442825,50.879000000000005,0.360420857328484,0.001475386145743079,58.432500000000005,0.3252054355606176,0.014216473862146833,66.0,0.32497759766815015,0.0011785713896246008,73.55049999999999,0.3053549665606003,0.0008364201980999482,81.1155,0.3156633561585112,0.0002849003574266664,88.66749999999999,0.296578753140733,0.0017448770575004464
18,21.66,0.462181750181811,0.033116633681744265,29.649,0.4021199579058729,0.0024613534746873336,37.671,0.4173622919285118,0.00480219520539921,45.661,0.38468472504861095,0.0008427239091616999,53.644,0.34962367645719034,0.0007794517222203286,61.669,0.329076599164918,0.005435091095528938,69.6645,0.3149645128111134,0.001977659453443364,77.6705,0.3136516096602513,0.0009056267229660548,85.6635,0.30022472904659875,0.002712051503901003,93.65899999999999,0.3083840489241611,0.00279617077059455
19,22.644,0.46686525958277053,0.03294782221979233,31.1055,0.3951695986889896,0.0022240070921023414,39.5435,0.41806158927056153,0.002612740348335124,47.976,0.3904116926730003,0.0017540149572214403,56.45100000000001,0.34497088504509454,0.0015922261583811458,64.8945,0.3167727784303114,0.0004913940203440638,73.33300000000001,0.3009915017970968,0.0015608079081670565,81.769,0.3130927939338732,0.0023662575423891025,90.2075,0.31091482444574925,0.0013082502899378291,98.64699999999999,0.30809964387697936,0.009885490856452168
20,23.646500000000003,0.4601704249354453,0.040586048592616365,32.546,0.4046193206687423,0.005839331893168688,41.438500000000005,0.4244795922837094,0.0027241271035525418,50.3245,0.36985370707745363,0.01905134056941578,59.215,0.33544491360802525,0.0015078738624475251,68.113,0.3120332364706026,0.0007585139528197085,77.0075,0.3111605585549046,0.0027568835782510424,85.89100000000002,0.3008757027834907,0.0005264949499193172,94.77250000000001,0.3163954498887678,0.0008269762415514541,103.656,0.3108150380491297,0.0014444735216144655
21,24.668,0.4643695109627877,0.036724049740250585,33.9945,0.4026554228939287,0.001713539796134455,43.33250000000001,0.4011935340163298,0.002962235111442825,52.661500000000004,0.37879272905895656,0.013579404552274252,62.00200000000001,0.3337878466616027,0.00273118165693205,71.326,0.3154662116679811,0.0026322380965616786,80.65299999999999,0.3147755362049176,0.0009196761858611373,89.98249999999999,0.30221154920497817,0.009605489496938832,99.326,0.3183050031366192,0.007187959153897302,108.655,0.2874225996578273,0.0012481106352559056
