,secs0,lMean0,lStd0,secs1,lMean1,lStd1,secs2,lMean2,lStd2,secs3,lMean3,lStd3,secs4,lMean4,lStd4,secs5,lMean5,lStd5,secs6,lMean6,lStd6,secs7,lMean7,lStd7,secs8,lMean8,lStd8,secs9,lMean9,lStd9,secs10,lMean10,lStd10,secs11,lMean11,lStd11,secs12,lMean12,lStd12,secs13,lMean13,lStd13,secs14,lMean14,lStd14,secs15,lMean15,lStd15,secs16,lMean16,lStd16,secs17,lMean17,lStd17,secs18,lMean18,lStd18,secs19,lMean19,lStd19,secs20,lMean20,lStd20,secs21,lMean21,lStd21,secs22,lMean22,lStd22,secs23,lMean23,lStd23,secs24,lMean24,lStd24,secs25,lMean25,lStd25,secs26,lMean26,lStd26,secs27,lMean27,lStd27,secs28,lMean28,lStd28,secs29,lMean29,lStd29,secs30,lMean30,lStd30,secs31,lMean31,lStd31,secs32,lMean32,lStd32,secs33,lMean33,lStd33,secs34,lMean34,lStd34,secs35,lMean35,lStd35,secs36,lMean36,lStd36,secs37,lMean37,lStd37,secs38,lMean38,lStd38,secs39,lMean39,lStd39,secs40,lMean40,lStd40,secs41,lMean41,lStd41,secs42,lMean42,lStd42,secs43,lMean43,lStd43,secs44,lMean44,lStd44,secs45,lMean45,lStd45,secs46,lMean46,lStd46,secs47,lMean47,lStd47,secs48,lMean48,lStd48,secs49,lMean49,lStd49,secs50,lMean50,lStd50,secs51,lMean51,lStd51,secs52,lMean52,lStd52,secs53,lMean53,lStd53,secs54,lMean54,lStd54,secs55,lMean55,lStd55,secs56,lMean56,lStd56,secs57,lMean57,lStd57,secs58,lMean58,lStd58,secs59,lMean59,lStd59,secs60,lMean60,lStd60,secs61,lMean61,lStd61,secs62,lMean62,lStd62,secs63,lMean63,lStd63,secs64,lMean64,lStd64,secs65,lMean65,lStd65,secs66,lMean66,lStd66,secs67,lMean67,lStd67,secs68,lMean68,lStd68,secs69,lMean69,lStd69
151,18.7435,0.5506847985384896,0.012271129552751524,29.494999999999997,0.429402047720347,0.06793128481499391,40.21,0.3947317437875737,0.003721928479705658,50.9225,0.37156874175229215,0.0031835419198004743,61.669,0.34780518470473815,0.0034720717441295164,72.36149999999999,0.3267653745643694,0.0022948026931008925,83.09150000000002,0.32349987124143387,0.0022669350980489213,93.8265,0.32426510519313273,0.0013685746381396015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,18.856,0.5682527632933596,0.005873228363105587,29.649,0.4231948362292311,0.057171728665316515,40.4475,0.3927695917906095,0.0009122526702397326,51.2325,0.37353330958987874,0.0009517539619493573,62.044,0.34350783510758504,0.003533596739837317,72.838,0.3253951843947955,0.0007420761761438323,83.6265,0.3185253222309424,0.0011082881546379281,94.42,0.3205116454022323,0.0020873166924509456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,18.9685,0.5589841311857559,0.0011425164437799014,29.828500000000002,0.42761557186790067,0.06341505188177587,40.6845,0.3949193128886875,0.0025350436127742695,51.563,0.3801874619591647,0.0022240488758756725,62.418,0.34018769032018814,0.0025019097551667617,73.293,0.3271502663595959,0.0007358724968491325,84.16049999999998,0.32344190780656906,0.001782537366337621,95.0135,0.33349782746223683,0.003918699922238757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,19.081,0.5389940098512648,0.029849646451557604,30.008499999999998,0.4335213530245441,0.06436214113121402,40.9435,0.4013210390728002,0.005043156451507357,51.8715,0.38423531848677633,0.005585673961753345,62.812,0.34413852964446584,0.00451337712739,73.74799999999999,0.3307322455173875,0.0008136739620448634,84.67499999999998,0.323350617154836,0.0017474844200428628,95.6055,0.34375777225949705,0.004446754295421992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,19.1645,0.5295890983752515,0.030323747080598432,30.162,0.4465037390590402,0.06813108843769478,41.18,0.41524848207125603,0.020823416785723695,52.179,0.3818684474990755,0.0016034422238897642,63.185,0.3423518011624096,0.0026953418765037073,74.202,0.3325947296017697,0.0033702221670676522,85.207,0.31987115617664436,0.0005441341652700474,96.21549999999999,0.3438349210997555,0.002093650540087227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,19.2485,0.5468644281537837,0.00569768910230895,30.341,0.4297121087530424,0.057945710410353915,41.4155,0.41524141705489725,0.023027291628218666,52.486000000000004,0.38410157682210394,0.0006739179678096224,63.556999999999995,0.3411465686783868,0.00218760921894299,74.63550000000001,0.3303477929511169,0.001235546147602104,85.73899999999998,0.3156603614545584,0.0009344160079891657,96.80600000000001,0.3470301948497608,0.004863252304039801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,19.361,0.5314555102635373,0.03348902452307831,30.494,0.43448818822717183,0.07427193234444417,41.650999999999996,0.41576320294556995,0.023941860124647683,52.792500000000004,0.37929836778257026,0.0054745693632771405,63.9695,0.3387309981622148,0.0030406864386793913,75.108,0.33194640285111493,0.0014879890506902923,86.27000000000001,0.31941417053018534,0.0024479209233576912,97.396,0.3419236440209082,0.0016007146082044998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,19.473,0.5239317380787886,0.03854775986362024,30.6985,0.423366986294269,0.051976457570414025,41.908500000000004,0.4199441218069939,0.015712587373372233,53.1205,0.387610887411034,0.003133291703252198,64.34049999999999,0.3375856116976222,0.003972924529520269,75.5595,0.3325458953266888,0.0037850528189194814,86.78049999999999,0.3210980555945868,0.0009051405674840281,98.0035,0.3317790837980684,0.0036696859434230357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,19.556,0.49795858301118573,0.037345627082882464,30.8515,0.43788212817851074,0.053028790017381235,42.1435,0.43125069854989206,0.008021129729805577,53.4255,0.38977588746150654,0.0018208455409082524,64.7305,0.3326591816593664,0.0037145433993303937,76.01050000000001,0.33467662592541103,0.0034913355124613953,87.31,0.3215402694086403,0.0015209834628510176,98.6105,0.33047649145061214,0.0028206187758889247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,19.6675,0.48111081602770045,0.0031187468369912015,31.029000000000003,0.44811187736249297,0.05965860421872857,42.3775,0.4314196420526936,0.0031989661825496435,53.73100000000001,0.3857959025265612,0.005610921748673865,65.1,0.336275447760878,0.0021118521986412957,76.4605,0.33282773116990594,0.0024965433610300764,87.83849999999998,0.3280764998143768,0.00158399596220738,99.19800000000001,0.3283922806338606,0.003029350782172613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
