fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
2.060715721753132446e+00,2.083568474194467779e+00,2.092459738006068992e+00,4.852682926829229859e-01,4.799458296596716411e-01,4.779064475347623575e-01,4.810401899591190134e-01,3.103482919251521980e-03,4.323999999999999488e+01
1.940842231882841329e+00,2.451017577320701246e+00,2.462659896421986794e+00,5.152402310567429922e-01,4.079938101027971165e-01,4.060650037193141992e-01,4.430996816262847138e-01,5.101714893126644418e-02,4.559199999999999875e+01
2.021647524184085221e+00,2.527666234930669997e+00,2.533084182620059188e+00,4.946460686333484791e-01,3.956218531468528310e-01,3.947756678839091649e-01,4.283478632213701398e-01,4.688118341802290784e-02,4.788550000000000750e+01
2.141856601479037003e+00,2.452877222216295561e+00,2.456755670898008059e+00,4.668846641317912494e-01,4.076844902560800565e-01,4.070408839778820731e-01,4.272033461219177930e-01,2.806015925959633173e-02,5.016899999999999693e+01
2.422207821181815213e+00,2.414083645880717111e+00,2.416600858632783400e+00,4.128464912280283561e-01,4.142358537188032819e-01,4.138043717181165704e-01,4.136289055549827176e-01,5.806165191683511579e-04,5.242000000000000171e+01
2.389534419280821886e+00,2.460951338599199012e+00,2.412050644668627175e+00,4.184915655247058441e-01,4.063469213370188848e-01,4.145849931510796060e-01,4.131411600042680932e-01,5.062054011844951094e-03,5.461999999999999744e+01
2.433755760368513599e+00,2.378687620623104237e+00,2.370391705068978005e+00,4.108875739645223568e-01,4.203998840915676993e-01,4.218712029161864607e-01,4.177195536574254686e-01,4.868138224831620488e-03,5.679300000000000637e+01
2.283078862184679370e+00,2.342174676402841715e+00,2.314589360909938165e+00,4.380050188205498185e-01,4.269536384603986323e-01,4.320420792078938921e-01,4.323335788296140958e-01,4.516413103948834287e-03,5.896150000000000091e+01
2.453443689033461439e+00,2.400753768844223757e+00,2.400236476500205551e+00,4.075903614457733193e-01,4.165358451072732060e-01,4.166256157635367940e-01,4.135839407721944583e-01,4.238259041104691129e-03,6.108449999999999847e+01
2.551240906847809686e+00,2.553141980548721879e+00,2.545266103787276357e+00,3.919661202185534821e-01,3.916742616033753732e-01,3.928862284819772954e-01,3.921755367679686799e-01,5.164670993611365606e-04,6.318500000000000227e+01
2.351410846508108943e+00,2.592439918250038833e+00,2.580960340910652739e+00,4.252765957446439371e-01,3.857370012551823435e-01,3.874526795894760456e-01,3.994887588631008124e-01,1.824820148779050452e-02,6.528450000000000841e+01
2.293327603959513628e+00,2.493344324769922959e+00,2.498301185142423719e+00,4.360476009940592590e-01,4.010677506775067735e-01,4.002719952050103891e-01,4.124624489588588072e-01,1.668038476945584922e-02,6.734350000000000591e+01
2.618782226249287692e+00,2.551734509725288369e+00,2.557524162477374574e+00,3.818568760611436019e-01,3.918902990059325853e-01,3.910031485416500252e-01,3.882501078695754226e-01,4.535182370741542950e-03,6.938349999999999795e+01
2.712124546349483634e+00,2.637407959438459848e+00,2.641639953619497216e+00,3.687146305083956466e-01,3.791601509433958350e-01,3.785527238978307896e-01,3.754758351165407571e-01,4.787320594989990727e-03,7.140600000000000591e+01
2.655372191012010941e+00,2.631353401751750365e+00,2.655372191012010941e+00,3.765950413222041160e-01,3.800325715786704306e-01,3.765950413222041160e-01,3.777408847410262394e-01,1.620467303254175245e-03,7.341200000000000614e+01
2.569695146409542996e+00,2.577603030673383255e+00,2.582230244684711629e+00,3.891512195122564521e-01,3.879573340425332972e-01,3.872621359223911153e-01,3.881235631590602697e-01,7.801210554611102532e-04,7.540199999999998681e+01
2.586941270795342973e+00,2.557564626674806441e+00,2.586941270795342973e+00,3.865569007264531565e-01,3.909969623329286326e-01,3.865569007264531565e-01,3.880369212619450003e-01,2.093065113883230393e-03,7.737749999999999773e+01
2.603123748498834988e+00,2.634377133453444042e+00,2.628153784542092808e+00,3.841538461537521432e-01,3.795963711122428141e-01,3.804952380951450164e-01,3.814151517870466024e-01,1.971010838614913226e-03,7.934000000000000341e+01
2.678124999999627054e+00,2.647377493228268541e+00,2.671874999999627853e+00,3.733955659277066186e-01,3.777323039717236375e-01,3.742690058480053206e-01,3.751322919158118219e-01,1.872746884793884212e-03,8.128900000000000148e+01
2.841906087689274329e+00,2.879131474391783740e+00,2.876756664015452714e+00,3.518765114483744516e-01,3.473269660987780560e-01,3.476136902744403900e-01,3.489390559405309844e-01,2.080390401446698904e-03,8.320600000000000307e+01
2.839763545352431251e+00,2.854805432081605421e+00,2.849250505971648639e+00,3.521419949335585220e-01,3.502865690117598074e-01,3.509694910658552325e-01,3.511326850037244651e-01,7.662138665057845145e-04,8.513150000000001683e+01
2.726609227322761342e+00,2.756197031480411841e+00,2.749412410824863429e+00,3.667558922559258638e-01,3.628187638903590528e-01,3.637140779836610660e-01,3.644295780433153276e-01,1.685071747881305287e-03,8.704550000000000409e+01
2.730519131988238257e+00,2.663660528983554876e+00,2.661765053125225045e+00,3.662307245112932375e-01,3.754232152028761371e-01,3.756905587237620581e-01,3.724481661459771442e-01,4.397749689713713502e-03,8.893099999999999739e+01
