fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
2.063650486999405231e+00,2.106729740798126915e+00,2.107448312566184256e+00,4.845781813828478057e-01,4.746693325842324951e-01,4.745074856817372289e-01,4.779183332162724729e-01,4.709687307832589875e-03,3.923550000000000182e+01
2.108545129543439867e+00,2.107052759648760265e+00,2.095703807195428592e+00,4.742606577344296581e-01,4.745965640493488014e-01,4.771666666666259382e-01,4.753412961501348177e-01,1.297996251909582215e-03,4.073349999999999937e+01
2.132922282764278865e+00,2.083753766193304546e+00,2.089393256585416303e+00,4.688403361345142573e-01,4.799031518137794050e-01,4.786078431373165798e-01,4.757837770285367474e-01,4.938149770134413891e-03,4.223999999999999488e+01
2.073306577551754959e+00,2.131052360777158317e+00,2.115945273234053570e+00,4.823213367609342495e-01,4.692517267080744681e-01,4.726020151133586422e-01,4.747250261941224347e-01,5.542806675938211601e-03,4.375350000000000250e+01
2.430356346018963887e+00,2.221841684266546935e+00,2.223178427997675399e+00,4.114622950819727398e-01,4.500770721340167646e-01,4.498064516129092194e-01,4.371152729429662043e-01,1.813973104760336144e-02,4.522899999999999920e+01
2.516045118232538069e+00,2.188873302862940129e+00,2.185547666261315136e+00,3.974491525424139748e-01,4.568560449305350546e-01,4.575512195122423686e-01,4.372854723283971512e-01,2.816996151332240572e-02,4.675799999999999557e+01
2.438324727481122611e+00,2.208927284228486609e+00,2.214903570325046811e+00,4.101176470588624445e-01,4.527084287200837664e-01,4.514869240349120849e-01,4.381043332712861171e-01,1.979585768603240453e-02,4.825000000000000000e+01
2.260662979323678545e+00,2.168646881619546107e+00,2.174356880359350708e+00,4.423481116584522810e-01,4.611170257710188736e-01,4.599061032863806520e-01,4.544570802386172503e-01,8.576593083212694091e-03,4.975000000000000000e+01
2.163565556036367798e+00,2.138847118005683168e+00,2.133053734092265508e+00,4.621999999999957254e-01,4.675415982664651859e-01,4.688114434330254987e-01,4.661843472331621552e-01,2.864657494662585253e-03,5.123650000000000659e+01
2.409718460875520663e+00,2.424755712027586885e+00,2.418008776681284999e+00,4.149862385320611247e-01,4.124126793638099864e-01,4.135634285713797875e-01,4.136541154890836514e-01,1.052606221371297146e-03,5.273149999999999693e+01
2.436387361616766611e+00,2.405020480252524795e+00,2.414086333135148532e+00,4.104437643020805160e-01,4.157968750000003988e-01,4.142353926097210315e-01,4.134920106372673154e-01,2.247726422228018845e-03,5.423499999999999943e+01
2.345005740528268490e+00,2.387672303888768610e+00,2.370838117106915277e+00,4.264381884944666301e-01,4.188179417968345142e-01,4.217917675544542444e-01,4.223492992819184444e-01,3.135832813734411740e-03,5.574699999999999989e+01
