fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
2.732775213932528313e+00,2.538612646357150560e+00,2.526843069501767403e+00,3.659283774610119777e-01,3.939159451659458577e-01,3.957507342144425122e-01,3.851983522804667825e-01,1.364650284553854849e-02,4.966050000000000608e+01
2.768900154286867643e+00,2.787077045064828340e+00,2.782675776945011226e+00,3.611542288557352265e-01,3.587988361393646408e-01,3.593663366336771192e-01,3.597731338762589215e-01,1.003687105796112391e-03,5.117000000000000171e+01
2.610166834172979122e+00,2.817670927894281974e+00,2.832545265199431395e+00,3.831172731596085845e-01,3.549030477974678965e-01,3.530393714395215210e-01,3.636865641321993525e-01,1.376063618618157160e-02,5.264399999999999835e+01
2.577442570922251264e+00,2.864744733464800852e+00,2.864444284224945569e+00,3.879814864864994939e-01,3.490712412587412827e-01,3.491078550583774365e-01,3.620535276012060710e-01,1.833384164345051859e-02,5.414849999999999852e+01
2.545835515977209695e+00,2.890932705405318881e+00,2.909526303973954064e+00,3.927983539094251353e-01,3.459091241142524531e-01,3.436985596707469726e-01,3.608020125648081500e-01,2.264282142859197142e-02,5.566100000000000136e+01
2.961969204123422017e+00,2.954420359210060187e+00,2.941721367767109463e+00,3.376132333205484337e-01,3.384758695162036757e-01,3.399370215538265461e-01,3.386753747968596073e-01,9.591140724778735895e-04,5.714050000000000296e+01
2.960829493087441477e+00,2.962924172601590467e+00,2.960829493087441477e+00,3.377431906614918322e-01,3.375044185224462812e-01,3.377431906614918322e-01,3.376635999484766670e-01,1.125582657850175862e-04,5.864999999999999858e+01
2.957544463568444915e+00,2.988071476095427670e+00,2.980493402180032891e+00,3.381183317167929525e-01,3.346640159045726204e-01,3.355149181905809352e-01,3.360990886039821324e-01,1.469470593231653318e-03,6.016800000000000637e+01
3.085320310256018494e+00,3.069810946498678472e+00,3.059465670784599300e+00,3.241154562383250504e-01,3.257529591978834405e-01,3.268544600938602107e-01,3.255742918433562338e-01,1.125307972020528390e-03,6.165400000000000347e+01
2.976190476190637035e+00,3.021148036253776148e+00,3.033136718937487153e+00,3.359999999999818687e-01,3.310000000000000164e-01,3.296916996047252746e-01,3.322305665349023496e-01,2.718379905607363339e-03,6.317050000000000409e+01
3.117244177166951680e+00,3.069359036193004542e+00,3.087414089347172208e+00,3.207961722487941425e-01,3.258009207161123300e-01,3.238956521739032590e-01,3.234975817129365772e-01,2.062477777529026033e-03,6.465500000000000114e+01
3.299531794944938312e+00,3.123010489615379193e+00,3.111413692608711035e+00,3.030733031674537337e-01,3.202038556467215469e-01,3.213973128599197371e-01,3.148914905580316170e-01,8.370911934751402994e-03,6.614950000000000330e+01
3.103027694073422271e+00,3.085091117807442274e+00,3.076122829673941794e+00,3.222658959537917922e-01,3.241395348837199375e-01,3.250845481049911556e-01,3.238299929808343136e-01,1.171341717745579773e-03,6.767449999999999477e+01
3.146929275391902703e+00,3.214975426859432606e+00,3.186040251089889974e+00,3.177700902971405394e-01,3.110443680674896405e-01,3.138692298874494746e-01,3.142278960840265700e-01,2.757452442385950435e-03,6.914950000000000330e+01
3.214856014475090173e+00,3.179667374841725902e+00,3.193784860822163285e+00,3.110559214774899495e-01,3.144983050466959584e-01,3.131081283109889979e-01,3.128874516117249871e-01,1.413983690048185859e-03,7.065449999999999875e+01
3.176988174255568786e+00,3.243273872483916076e+00,3.219147259032419939e+00,3.147635260664197188e-01,3.083304214559386414e-01,3.106412722170933671e-01,3.112450732464839276e-01,2.660781901956394638e-03,7.215099999999999625e+01
3.293961332813506449e+00,3.256741430748547828e+00,3.265673496940108222e+00,3.035858344900057570e-01,3.070553868841083833e-01,3.062155481670125190e-01,3.056189231803755901e-01,1.477930870026399578e-03,7.367699999999999250e+01
3.250711093051639189e+00,3.263529908403418833e+00,3.256962460538276538e+00,3.076249999999967621e-01,3.064166801183749733e-01,3.070345489443346287e-01,3.070254096875688066e-01,4.933368548914608253e-04,7.515549999999998931e+01
3.200240018000832354e+00,3.210331556989677981e+00,3.228367127534042869e+00,3.124765625000505698e-01,3.114943058833767875e-01,3.097541142304470196e-01,3.112416608712914035e-01,1.125700751166590179e-03,7.666499999999999204e+01
3.155579439368464190e+00,3.166011250387071652e+00,3.155579439368464190e+00,3.168990099010573491e-01,3.158548472870213453e-01,3.168990099010573491e-01,3.165509556963786442e-01,4.922229766975534052e-04,7.816599999999999682e+01
3.191695346121912635e+00,3.152321521749656519e+00,3.166711429518218601e+00,3.133131115458922533e-01,3.172265243568690996e-01,3.157850098618361634e-01,3.154415485881991721e-01,1.615997976926473621e-03,7.965850000000000364e+01
3.141674556357134218e+00,3.147785452164469699e+00,3.151090164418144379e+00,3.183015879147997884e-01,3.176836589394564370e-01,3.173504875525046121e-01,3.177785781355869088e-01,3.940433268352186739e-04,8.114449999999999363e+01
