fDCT,fNDCT,fFFT,lDCT,lNDCT,lFFT,lMean,lStd,depth
3.924723459272785320e+00,4.066265776988881697e+00,-1.000000000000000000e+00,2.547950219619526391e-01,2.459258825773341095e-01,-1.000000000000000000e+00,2.503604522696433743e-01,4.434569692309264788e-03,5.591949999999999932e+01
4.199627568463020211e+00,4.165578443349200022e+00,-1.000000000000000000e+00,2.381163528664947959e-01,2.400626980381581899e-01,-1.000000000000000000e+00,2.390895254523264790e-01,9.731725858316969680e-04,5.739600000000000080e+01
-1.000000000000000000e+00,4.609906390119828501e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.169241445212960750e-01,-1.000000000000000000e+00,2.169241445212960750e-01,0.000000000000000000e+00,5.890399999999999636e+01
-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,nan,nan,6.042000000000000171e+01
4.216243660100203350e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.371779433582910934e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,2.371779433582910934e-01,0.000000000000000000e+00,6.190449999999999875e+01
4.035433070865969363e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.478048780487910607e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,2.478048780487910607e-01,0.000000000000000000e+00,6.339750000000000085e+01
4.043519737437279993e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.473092911458828480e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,2.473092911458828480e-01,0.000000000000000000e+00,6.490099999999999625e+01
4.053666236189459759e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.466902654866877098e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,2.466902654866877098e-01,0.000000000000000000e+00,6.639449999999999363e+01
4.304206684799551930e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.323308505447782002e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,2.323308505447782002e-01,0.000000000000000000e+00,6.791800000000000637e+01
4.137887958984029169e+00,4.417272536482541589e+00,-1.000000000000000000e+00,2.416691824216354312e-01,2.263840394136732159e-01,-1.000000000000000000e+00,2.340266109176543097e-01,7.642571503981107628e-03,6.939099999999999113e+01
4.176288109641927093e+00,4.345360907614729484e+00,-1.000000000000000000e+00,2.394470816539856772e-01,2.301304819693155146e-01,-1.000000000000000000e+00,2.347887818116505820e-01,4.658299842335081320e-03,7.089500000000001023e+01
4.116190831622595248e+00,4.388203803095909628e+00,-1.000000000000000000e+00,2.429430609284462528e-01,2.278836728810299805e-01,-1.000000000000000000e+00,2.354133669047381305e-01,7.529694023708136119e-03,7.240899999999999181e+01
4.014626529220530315e+00,-1.000000000000000000e+00,-1.000000000000000000e+00,2.490891724850324840e-01,-1.000000000000000000e+00,-1.000000000000000000e+00,2.490891724850324840e-01,0.000000000000000000e+00,7.391450000000000387e+01
