iceDepth	density	weDepth	d18O
50.69	799.9999999999894	30.13	-33.8
50.89	750.0	30.29	-32.7
51.09	750.0000000000089	30.44	-31.0
51.29	799.9999999999894	30.59	-31.4
51.49	736.8421052631697	30.75	-34.0
51.68	833.3333333333267	30.89	-35.3
51.86	736.8421052631697	31.04	-35.9
52.05	777.7777777777821	31.18	-36.5
52.23	789.4736842104988	31.32	-36.1
52.42	777.7777777777821	31.47	-33.0
52.6	789.4736842105469	31.61	-31.4
52.79	777.7777777777625	31.76	-32.7
52.97	736.8421052631697	31.9	-34.6
53.16	833.3333333332938	32.04	-34.9
53.34	777.7777777777821	32.19	-35.1
53.52	789.4736842105283	32.33	-34.1
53.71	777.7777777777821	32.48	-33.6
53.89	736.8421052631697	32.62	-32.7
54.08	833.3333333333267	32.76	-32.9
54.26	777.7777777777821	32.91	-34.4
54.44	833.3333333333662	33.05	-34.2
54.62	736.8421052631422	33.2	-33.7
54.81	777.7777777777427	33.34	-33.4
54.99	833.3333333333662	33.48	-34.5
55.17	736.8421052631697	33.63	-34.8
55.36	833.3333333333267	33.77	-35.1
55.54	777.7777777777821	33.92	-34.4
55.72	777.7777777777821	34.06	-35.5
55.9	833.3333333333267	34.2	-36.1
56.08	736.8421052631422	34.35	-33.8
56.27	833.3333333333267	34.49	-32.1
56.45	777.7777777777821	34.64	-33.8
56.63	777.7777777777821	34.78	-35.5
56.81	833.3333333333267	34.92	-35.8
56.99	777.7777777777821	35.07	-35.1
57.17	833.3333333333267	35.21	-35.2
57.35	777.7777777777821	35.36	-35.3
57.53	777.7777777777821	35.5	-33.9
57.71	833.3333333333267	35.64	-34.5
57.89	777.7777777777821	35.79	-36.8
58.07	777.7777777777821	35.93	-34.9
58.25	833.3333333333267	36.07	-35.2
58.43	777.7777777777821	36.22	-35.2
58.61	833.3333333333267	36.36	-34.4
58.79	777.7777777777821	36.51	-33.7
58.97	777.7777777777821	36.65	-33.5
59.15	833.3333333333267	36.79	-33.8
59.33	777.7777777777821	36.94	-35.4
59.51	833.3333333333267	37.08	-36.4
59.69	777.7777777777821	37.23	-36.6
59.87	777.7777777777821	37.37	-32.2
60.05	833.3333333333267	37.51	-34.0
60.23	823.529411764701	37.66	-33.8
60.4	833.3333333333662	37.8	-33.3
60.58	777.7777777777821	37.95	-33.3
60.76	777.7777777777427	38.09	-36.3
60.94	833.3333333333662	38.23	-36.8
61.12	823.529411764701	38.38	-35.4
61.29	833.3333333333267	38.52	-34.6
61.47	777.7777777777821	38.67	-35.0
61.65	777.7777777777821	38.81	-35.1
61.83	882.3529411764533	38.95	-33.2
62.0	777.7777777777821	39.1	-32.6
62.18	833.3333333333267	39.24	-34.2
62.36	777.7777777777821	39.39	-35.7
62.54	823.529411764701	39.53	-36.9
62.71	833.3333333333267	39.67	-37.4
62.89	777.7777777777821	39.82	-36.8
63.07	882.3529411764533	39.96	-34.8
63.24	777.7777777777821	40.11	-34.4
63.42	777.7777777777821	40.25	-35.7
63.6	882.3529411764533	40.39	-36.2
63.77	777.7777777777821	40.54	-35.6
63.95	882.3529411764533	40.68	-33.8
64.12	777.7777777778128	40.83	-34.4
64.3	777.7777777777515	40.97	-36.7
64.48	882.3529411764533	41.11	-36.4
64.65	777.7777777778128	41.26	-34.6
64.83	882.3529411764533	41.4	-35.4
65.0	777.7777777777515	41.55	-34.9
65.18	823.5294117647697	41.69	-34.7
65.35	833.3333333332938	41.83	-34.8
65.53	823.529411764701	41.98	-35.8
65.7	833.3333333333991	42.12	-36.1
65.88	823.5294117646592	42.27	-33.9
66.05	777.7777777777515	42.41	-32.2
66.23	882.3529411764952	42.55	-35.0
66.4	777.7777777778128	42.7	-36.0
66.58	882.3529411764533	42.84	-35.1
66.75	823.529411764701	42.99	-32.7
66.92	777.7777777778128	43.13	-31.9
67.1	882.3529411764533	43.27	-31.1
67.27	777.7777777777515	43.42	-34.3
67.45	882.3529411764533	43.56	-35.8
67.62	777.7777777778128	43.71	-35.1
67.8	882.3529411764533	43.85	-36.0
67.97	777.7777777777515	44.0	-35.0
68.15	882.3529411765272	44.14	-34.5
68.32	777.7777777777515	44.29	-34.3
68.5	882.3529411764533	44.43	-34.1
68.67	777.7777777778128	44.58	-35.5
68.85	882.3529411764533	44.72	-35.3
69.02	833.3333333333334	44.87	-34.4
69.2	823.5294117646592	45.02	-32.1
69.37	833.3333333333991	45.16	-31.6
69.55	823.529411764701	45.31	-32.6
69.72	833.3333333332938	45.45	-34.4
69.9	823.5294117647697	45.6	-36.2
70.07	882.3529411764533	45.74	-35.7
70.24	777.7777777777515	45.89	-35.6
70.42	882.3529411764533	46.03	-35.2
70.59	777.7777777778128	46.18	-36.0
70.77	882.3529411764533	46.32	-35.3
70.94	823.529411764701	46.47	-32.9
71.11	833.3333333332938	46.61	-33.8
71.29	823.5294117647697	46.76	-34.3
71.46	882.3529411764533	46.9	-34.4
71.63	833.3333333333334	47.05	-35.2
71.81	823.529411764701	47.2	-33.9
71.98	882.3529411764533	47.34	-32.6
72.15	777.7777777778128	47.49	-34.5
72.33	882.3529411764533	47.63	-35.4
72.5	823.529411764701	47.78	-35.5
72.67	823.529411764701	47.92	-34.0
72.84	882.3529411764533	48.06	-35.3
73.01	823.529411764701	48.21	-35.8
73.18	833.3333333333596	48.35	-34.6
73.36	823.529411764701	48.5	-34.8
73.53	882.3529411764533	48.64	-33.4
73.7	823.529411764701	48.79	-32.3
73.87	823.529411764701	48.93	-33.4
74.04	882.3529411765272	49.07	-36.9
74.21	823.529411764701	49.22	-38.0
74.38	882.3529411764533	49.36	-36.1
74.55	823.529411764701	49.51	-35.2
74.72	823.529411764701	49.65	-35.1
74.89	882.3529411764533	49.79	-35.5
75.06	823.529411764701	49.94	-35.9
75.23	882.3529411764533	50.08	-36.4
75.4	823.5294117647697	50.23	-37.8
75.57	882.3529411764952	50.37	-37.5
75.74	823.5294117646592	50.52	-35.2
75.91	823.529411764701	50.66	-34.4
76.08	882.3529411764952	50.8	-33.7
