,depth,d18O
177,48.9800000000024,-35.8086
178,49.0000000000024,-35.9105
179,49.0200000000024,-35.7165
180,49.0400000000024,-35.8326
181,49.0600000000024,-35.7169
182,49.0800000000024,-35.8864
183,49.1000000000024,-35.4558
184,49.1200000000024,-35.2577
185,49.1400000000024,-35.1589
186,49.1600000000024,-35.1273
187,49.1800000000024,-34.9899
188,49.2000000000024,-34.8419
189,49.2200000000024,-34.5459
190,49.2400000000024,-34.27
191,49.2600000000024,-34.2353
192,49.2800000000024,-33.9557
193,49.3000000000024,-33.758
194,49.3200000000024,-33.6716
195,49.3400000000024,-33.5687
196,49.3600000000024,-33.6952
197,49.3800000000024,-33.5814
198,49.4000000000024,-33.7665
199,49.4200000000024,-33.8437
200,49.4400000000024,-34.0822
201,49.4600000000024,-34.4947
