Run_ID	Bag	sample	Depth	d17	d18	dD
HKDS2004_Fast_IsoWater_20180724_073105	1006	17	553.175	-19.3719	-36.5468	-284.5246
HKDS2004_Fast_IsoWater_20180724_073105	1006	18	553.200	-19.3103	-36.3318	-282.2294
HKDS2004_Fast_IsoWater_20180724_073105	1006	19	553.225	-19.0865	-35.9477	-278.8253
HKDS2004_Fast_IsoWater_20180724_073105	1006	20	553.250	-19.0038	-35.7429	-275.5119
HKDS2004_Fast_IsoWater_20180724_073105	1006	21	553.275	-18.7711	-35.4079	-272.8318
HKDS2004_Fast_IsoWater_20180724_073105	1006	22	553.300	-18.7800	-35.3893	-272.5172
HKDS2004_Fast_IsoWater_20180724_073105	1007	1	553.325	-18.8194	-35.4570	-273.8285
HKDS2004_Fast_IsoWater_20180724_073105	1007	2	553.350	-18.8496	-35.4804	-275.1203
HKDS2004_Fast_IsoWater_20180724_073105	1007	3	553.375	-18.8563	-35.5709	-275.9317
HKDS2004_Fast_IsoWater_20180724_073105	1007	4	553.400	-18.9135	-35.5555	-275.2904
HKDS2004_Fast_IsoWater_20180724_073105	1007	5	553.425	-18.7438	-35.3572	-274.1094
HKDS2004_Fast_IsoWater_20180724_073105	1007	6	553.450	-18.7202	-35.2808	-272.6004
HKDS2004_Fast_IsoWater_20180724_073105	1007	7	553.475	-18.6989	-35.2464	-272.2537
HKDS2004_Fast_IsoWater_20180724_073105	1007	8	553.500	-18.8194	-35.4037	-274.3550
HKDS2004_Fast_IsoWater_20180724_073105	1007	9	553.525	-18.8105	-35.4149	-275.0879
HKDS2004_Fast_IsoWater_20180724_073105	1007	10	553.550	-18.9329	-35.6582	-276.3534
HKDS2004_Fast_IsoWater_20180724_073105	1007	11	553.575	-18.9847	-35.7278	-276.3960
HKDS2004_Fast_IsoWater_20180724_073105	1007	12	553.600	-18.9491	-35.6694	-275.5805
HKDS2004_Fast_IsoWater_20180724_073105	1007	13	553.625	-18.8798	-35.5741	-275.0997
HKDS2004_Fast_IsoWater_20180724_073105	1007	14	553.650	-18.8725	-35.6338	-274.9274
HKDS2004_Fast_IsoWater_20180724_073105	1007	15	553.675	-18.9250	-35.6364	-275.0920
HKDS2004_Fast_IsoWater_20180724_073105	1007	16	553.700	-18.9949	-35.7265	-276.3077
HKDS2004_Fast_IsoWater_20180724_073105	1007	17	553.725	-19.0807	-35.9291	-278.0613
