depth	cond
4.983	421.266
4.987	393.895
4.99	360.486
4.993	224.209
4.997	333.216
5.0	323.838
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.0	
5.003	88.11
5.007	88.716
5.01	113.598
5.013	144.81
5.017	184.935
5.02	227.429
5.023	230.805
5.027	235.665
5.03	243.458
5.033	251.764
5.037	257.584
5.04	277.604
5.043	287.101
5.047	297.304
5.05	316.868
5.053	326.97
5.057	324.191
5.06	317.924
5.063	309.921
5.067	300.188
5.07	292.042
5.073	282.647
5.077	276.294
5.08	275.923
5.083	275.328
5.087	275.366
5.09	279.917
5.093	285.011
5.097	287.0
5.1	293.029
5.103	290.868
5.107	290.22
5.11	298.588
5.113	314.004
5.117	323.552
5.12	339.07
5.123	349.458
5.127	354.666
5.13	354.438
5.133	353.753
5.137	350.57
5.14	346.532
5.143	338.158
5.147	333.084
5.15	330.7
5.153	323.919
5.157	320.316
5.16	318.974
5.163	320.434
5.167	332.843
5.17	342.836
5.173	347.229
5.177	348.143
5.18	346.187
5.183	347.306
5.187	342.284
5.19	332.751
5.193	323.754
5.197	320.701
5.2	319.211
5.203	312.621
5.207	303.405
5.21	298.888
5.213	291.979
5.217	285.6
5.22	275.474
5.223	259.972
5.227	248.904
5.23	239.832
5.233	232.45
5.237	225.48
5.24	211.361
5.243	205.415
5.247	200.278
5.25	193.081
5.253	188.82
5.257	185.428
5.26	182.717
5.263	181.595
5.267	180.438
5.27	178.726
5.273	176.725
5.277	176.271
5.28	176.396
5.283	175.26
5.287	172.59
5.29	168.797
5.293	167.465
5.297	166.446
5.3	166.429
5.303	168.567
5.307	173.41
5.31	179.41
5.313	189.095
5.317	198.151
5.32	209.067
5.323	214.316
5.327	222.643
5.33	230.617
5.333	244.461
5.337	251.427
5.34	258.081
5.343	261.294
5.347	264.058
5.35	267.417
5.353	273.046
5.357	276.385
5.36	279.224
5.363	283.878
5.367	282.849
5.37	274.083
5.373	266.786
5.377	261.391
5.38	256.17
5.383	252.488
5.387	248.21
5.39	248.473
5.393	257.506
5.397	267.868
5.4	274.092
5.403	278.072
5.407	282.686
5.41	285.221
5.413	287.452
5.417	287.182
5.42	287.558
5.423	286.233
5.427	289.114
5.43	289.721
5.433	288.143
5.437	280.308
5.44	265.016
5.443	256.071
5.447	251.923
5.45	251.958
5.453	257.646
5.457	262.248
5.46	266.767
5.463	270.057
5.467	275.126
5.47	277.839
5.473	275.881
5.477	277.841
5.48	281.527
5.483	288.384
5.487	298.752
5.49	308.987
5.493	318.958
5.497	325.429
