depth	d18O
30.799	-35.83
30.85	-35.04
30.901	-34.21
30.952	-33.04
31.002	-33.05
31.053	-33.57
31.104	-33.97
31.155	-34.3
31.206	-34.07
31.256	-33.82
31.307	-34.11
31.358	-34.62
31.409	-35.36
31.459	-36.05
31.51	-35.92
31.561	-35.26
31.611	-34.34
31.662	-33.9
31.712	-33.75
31.763	-34.39
31.813	-35.37
31.864	-36.31
31.915	-37.57
31.965	-37.69
32.016	-36.61
32.066	-34.86
32.116	-33.44
32.167	-32.79
32.217	-33.21
32.267	-34.33
32.318	-34.9
32.368	-35.37
32.419	-34.87
32.469	-34.25
32.519	-33.37
32.569	-33.05
32.619	-33.46
32.67	-34.36
32.72	-35.63
32.77	-36.12
32.82	-35.71
32.87	-34.65
32.92	-33.27
32.97	-32.52
33.021	-32.74
33.071	-33.53
33.121	-34.27
33.171	-34.35
33.221	-34.1
33.271	-33.69
33.321	-33.12
33.371	-32.73
33.42	-32.45
33.47	-32.5
33.52	-33.51
33.57	-34.53
33.62	-35.52
33.67	-35.19
33.72	-34.16
33.769	-33.11
33.819	-32.15
33.869	-32.02
33.919	-32.67
33.968	-33.54
34.018	-33.87
34.068	-33.45
34.117	-32.67
34.167	-32.21
34.217	-32.67
34.266	-33.53
34.316	-34.41
34.365	-34.83
34.415	-34.34
34.464	-33.37
34.514	-32.79
34.563	-32.74
34.613	-33.02
34.662	-32.93
34.712	-32.86
34.761	-32.19
34.811	-31.17
34.86	-30.85
34.909	-30.26
34.959	-30.24
35.008	-30.7
35.057	-31.34
35.107	-32.45
35.156	-32.65
35.205	-32.71
35.254	-32.84
35.304	-33.07
35.353	-33.83
35.402	-34.64
35.451	-35.67
35.5	-36.42
35.549	-36.41
35.599	-35.38
35.648	-33.97
35.697	-32.5
35.746	-31.61
35.795	-31.98
35.844	-33.28
35.893	-34.83
35.942	-35.91
35.991	-36.05
36.04	-35.63
36.088	-34.49
36.137	-33.45
36.186	-33.16
36.235	-33.26
36.284	-33.99
36.333	-35.31
36.382	-36.34
36.43	-36.38
36.479	-35.9
36.528	-34.58
36.577	-33.34
36.625	-32.81
36.674	-32.74
36.723	-33.78
36.772	-34.83
36.82	-35.13
36.869	-35.02
36.917	-34.29
36.966	-33.42
37.015	-32.59
37.063	-32
37.112	-31.73
37.16	-31.76
37.209	-31.98
37.257	-32.48
37.306	-32.81
37.354	-32.68
37.403	-32.26
37.451	-32.04
37.5	-32.05
37.548	-32.58
37.596	-33.87
37.645	-35.15
37.693	-36.08
37.741	-36.51
37.79	-36.41
37.838	-35.31
37.886	-34.35
37.935	-33.92
37.983	-33.62
38.031	-33.8
38.079	-33.66
38.127	-33.49
38.176	-32.77
38.224	-32.3
