depth	rho_measured	rho__model_hld	rho_model_hls	rho_model_bar	rho_model_gou
123.75	895.69	888.9	888.65	914.07	902.95
124.3	895.31	889.31	889.06	914.22	903.14
124.85	897.59	889.72	889.47	914.36	903.33
125.4	897.21	890.11	889.87	914.49	903.52
125.95	897.59	890.51	890.27	914.63	903.7
126.5	897.21	890.89	890.66	914.75	903.88
127.05	899.48	891.28	891.04	914.87	904.06
127.6	901	891.65	891.42	914.98	904.24
128.15	905.58	892.02	891.8	915.09	904.41

